1134 1139 1144 1149 1154 1159 1164 1169 1174 1179 1184 1189 1194 1199 1204 1209 1214 1219 1224 1229 1234 1239 1244 1249 1254 1259 1264 1269 1274 1295 1300 1305 1310 1315 1320 1325 1330 1335 1340 1345 1350 1355 1360 1365 1370 1375 1380 1385 1390 1395 1400 1405 1410 1415 1420 1425 1430
4.802722616201901e-06 4.8671884963470535e-06 4.909047070547951e-06 4.944762575015142e-06 4.9547798482144155e-06 4.917171812488081e-06 5.030540894781467e-06 5.316306149789863e-06 5.318997136377217e-06 5.284761860129763e-06 5.3346290709873435e-06 5.399050278625486e-06 5.495759329346713e-06 5.605894333218145e-06 5.613353745201896e-06 5.701494109164371e-06 5.732554239876854e-06 5.777133071547523e-06 5.802621851172537e-06 5.779390723244075e-06 5.949260201035155e-06 5.80918119779261e-06 5.896905411952345e-06 5.6843142772515814e-06 5.699350752105385e-06 5.783175300731426e-06 5.808376047130693e-06 5.717134914161616e-06 5.89310879788955e-06 5.890009345139951e-06 5.818799466351695e-06 5.721538019673076e-06 5.821638912213001e-06 5.9963471516860485e-06 5.980336247875809e-06 5.997157504014986e-06 6.19562949229064e-06 6.382670518749988e-06 6.069752824625505e-06 6.021298482420177e-06 6.034494159073254e-06 6.100390814025427e-06 6.0916475647578035e-06 6.2260940469611285e-06 6.342585040102855e-06 6.040363412772788e-06 6.220423571945553e-06 6.094840020711358e-06 5.892290035183951e-06 6.0479704460300435e-06 6.1567726138728435e-06 5.95538969426015e-06 6.0171419727230965e-06 6.09896035006992e-06 6.0870869607568865e-06 5.916416268560011e-06 5.942181752741981e-06
4.857942276051839e-06 4.941978748464248e-06 4.91681320497316e-06 4.930007853610955e-06 4.986930227376528e-06 4.914944758157459e-06 5.005046284518313e-06 5.286109211275399e-06 5.3426591467478085e-06 5.2920224780118414e-06 5.3761724619470856e-06 5.392461460170982e-06 5.4699537032655775e-06 5.652799648478762e-06 5.681281352849296e-06 5.778777808095332e-06 5.832925746642193e-06 5.86198999831607e-06 5.888648923137198e-06 5.790279599082398e-06 5.965056167205284e-06 5.852538964339101e-06 5.870542594858891e-06 5.691075973821423e-06 5.754301699430503e-06 5.852468916438589e-06 5.862557251847979e-06 5.712929181020604e-06 5.8359583309555065e-06 5.865589865262805e-06 5.822844881597722e-06 5.68833282675858e-06 5.765782990652649e-06 5.963912303884655e-06 5.959131460866901e-06 6.024395735260779e-06 6.1704802596876155e-06 6.365773328001933e-06 6.080530637503671e-06 6.081853650522446e-06 6.086932587999885e-06 6.151188641450562e-06 6.199518729822055e-06 6.245601526962318e-06 6.430876287590707e-06 6.2429416818816096e-06 6.387380521289836e-06 6.271313019675704e-06 6.091126364124223e-06 6.183663147448065e-06 6.372804528594632e-06 6.15948298370145e-06 6.139502373171664e-06 6.228940911387324e-06 6.1421786544793445e-06 5.938573482933289e-06 6.01624293527267e-06
4.912255697943351e-06 5.0042537026029905e-06 4.9331236856572e-06 4.918200146178217e-06 5.011216410776762e-06 4.953627572478861e-06 5.004127882939486e-06 5.2992906707365685e-06 5.360845113271215e-06 5.3198716532428885e-06 5.405580027424895e-06 5.407929538956889e-06 5.455136280990106e-06 5.67601126862521e-06 5.7043646131361794e-06 5.80866704354255e-06 5.886528069788544e-06 5.89660122217654e-06 5.927623227605405e-06 5.796692821784731e-06 5.952600701853256e-06 5.892832660253717e-06 5.864757201724558e-06 5.748553609139953e-06 5.80903151770987e-06 5.911502876576407e-06 5.939065032688064e-06 5.728453117153906e-06 5.793631257018162e-06 5.868458758387655e-06 5.829738776226407e-06 5.710674663224498e-06 5.7745344502325366e-06 5.946754066682016e-06 5.985544861277638e-06 6.056022114072531e-06 6.1274227910886456e-06 6.318593978224084e-06 6.087320165743061e-06 6.133024587294837e-06 6.128436894633493e-06 6.188233123220229e-06 6.28850763323627e-06 6.2677789266533796e-06 6.487268507729549e-06 6.411273483163949e-06 6.539626779135675e-06 6.40615300932185e-06 6.267490324753389e-06 6.268472454188444e-06 6.52071774449061e-06 6.292080302000114e-06 6.225952916472708e-06 6.330621122149884e-06 6.1972778275607935e-06 5.970759658553906e-06 6.102153032374899e-06
4.964729103173331e-06 5.054358047370956e-06 4.9645099802808675e-06 4.928959359667058e-06 5.044212947211286e-06 5.016554407740066e-06 5.039675696138514e-06 5.350122105625374e-06 5.396804553063111e-06 5.359800509633639e-06 5.441226928401812e-06 5.440226178806882e-06 5.471562625191538e-06 5.699473550488866e-06 5.712780160812103e-06 5.821408092736631e-06 5.916697039307081e-06 5.905058779649624e-06 5.941808214646803e-06 5.822612702631985e-06 5.942663566412237e-06 5.956214362357613e-06 5.898504897953885e-06 5.83809151269921e-06 5.8592977384898874e-06 5.953094986022808e-06 6.0036745847744184e-06 5.753425144353475e-06 5.761650497233625e-06 5.880902554953901e-06 5.846001730636146e-06 5.771160881972256e-06 5.81404671530823e-06 5.951058085248393e-06 6.036965340994696e-06 6.090775617056363e-06 6.077492662271362e-06 6.267267908790741e-06 6.109829891433206e-06 6.19468765017777e-06 6.181616048573464e-06 6.248769322319979e-06 6.394496679200616e-06 6.3025893683987865e-06 6.538139229510539e-06 6.582659358543674e-06 6.710228897379434e-06 6.53296309052638e-06 6.4427641204082214e-06 6.3398644095725596e-06 6.627316192859947e-06 6.390528612234892e-06 6.333060256519633e-06 6.430595546434673e-06 6.2874555445620725e-06 6.054569979310867e-06 6.209029478602503e-06
5.012607870619822e-06 5.091086901581944e-06 5.013066224108079e-06 4.982741011427805e-06 5.100963569324989e-06 5.097716702091688e-06 5.118798449190315e-06 5.428674161213536e-06 5.451970659276825e-06 5.413275759590381e-06 5.48602242962361e-06 5.4843679516752435e-06 5.526379694709689e-06 5.725357329607093e-06 5.717267926905075e-06 5.829516483202899e-06 5.918087900085181e-06 5.894508307181956e-06 5.935714506715606e-06 5.871865229124427e-06 5.950825589563106e-06 6.039025300752217e-06 5.9707411706237e-06 5.941416307429998e-06 5.899613475064956e-06 5.988681170088377e-06 6.037495393567045e-06 5.793878461664992e-06 5.759041665238087e-06 5.90114618070638e-06 5.8805010862768855e-06 5.8703392104510655e-06 5.875480798683693e-06 5.982355270571254e-06 6.101969750473397e-06 6.1259484493202e-06 6.04781586600465e-06 6.250135029141956e-06 6.163416523829856e-06 6.264206760624361e-06 6.261409345355005e-06 6.34086946938269e-06 6.508631345557907e-06 6.349748301344385e-06 6.573733160704851e-06 6.717727416403702e-06 6.8604891665436305e-06 6.630500737858494e-06 6.581577635701351e-06 6.401342330946357e-06 6.680320492529626e-06 6.458212687249932e-06 6.465611328951421e-06 6.5248673852086544e-06 6.4039010822345215e-06 6.191980687174952e-06 6.3286623353028426e-06
5.06537262889192e-06 5.131360873281107e-06 5.079927344576247e-06 5.080937200361387e-06 5.191828093401342e-06 5.195751749363411e-06 5.226433354801595e-06 5.516630176130463e-06 5.519940493079251e-06 5.481414040166117e-06 5.535756503011671e-06 5.5351931349725055e-06 5.6029669091743275e-06 5.758599454071002e-06 5.729651922180506e-06 5.8492261570141715e-06 5.911170914129519e-06 5.8964340910155965e-06 5.925751262383923e-06 5.928642662217708e-06 5.977174469314112e-06 6.124547353862518e-06 6.05021163505791e-06 6.034365848925696e-06 5.940276096224048e-06 6.036971921473865e-06 6.048908458543225e-06 5.861892774290258e-06 5.796271121310926e-06 5.927555163178393e-06 5.937421763770863e-06 5.995718345657879e-06 5.953719185475178e-06 6.032331962684651e-06 6.173915501010682e-06 6.16112472248078e-06 6.0655081030738054e-06 6.301646127305783e-06 6.25744249092884e-06 6.3455763650775065e-06 6.377659046413029e-06 6.4648502993222104e-06 6.622885813355498e-06 6.39576611941583e-06 6.596795146090121e-06 6.798949140889674e-06 6.959439583403072e-06 6.703277598886687e-06 6.684256018298607e-06 6.475037805873435e-06 6.71187837404564e-06 6.517349491679417e-06 6.623578582657838e-06 6.6189519681565265e-06 6.5235260446786906e-06 6.357607299533383e-06 6.4563581960995875e-06
5.127552417423612e-06 5.185095887845794e-06 5.165724727606516e-06 5.212040632868239e-06 5.307146373231439e-06 5.3108365824686015e-06 5.3454394830111485e-06 5.605480832847892e-06 5.589579084884612e-06 5.560638987657923e-06 5.588615481922335e-06 5.594419752296944e-06 5.678897298062293e-06 5.801422662028496e-06 5.7511626065641716e-06 5.883573744048258e-06 5.922429381627422e-06 5.933137092228543e-06 5.918882260560101e-06 5.9687869098480445e-06 6.000963925004711e-06 6.185729961786858e-06 6.102035416368501e-06 6.099980222031724e-06 5.989112310800231e-06 6.099654212702313e-06 6.054231186135829e-06 5.968597260111209e-06 5.865758191445869e-06 5.959632800035181e-06 6.01537471026196e-06 6.133809080609797e-06 6.054544038258842e-06 6.100845174231848e-06 6.2509888902510065e-06 6.207056687323201e-06 6.1477662808919955e-06 6.420204160240036e-06 6.381385146254216e-06 6.4485852643236855e-06 6.518888796824873e-06 6.604665960945484e-06 6.725717497110538e-06 6.434133756142352e-06 6.612940986610966e-06 6.8287885381551784e-06 6.992732172973811e-06 6.762588315885059e-06 6.7598847042612096e-06 6.563460666689145e-06 6.750174691927668e-06 6.568276395761968e-06 6.787027777602124e-06 6.705858647081207e-06 6.615120674710992e-06 6.512899543580755e-06 6.582830541714591e-06
5.199793304329234e-06 5.2490811093923866e-06 5.264176936824145e-06 5.364080658250113e-06 5.427792193082242e-06 5.4395983861468275e-06 5.46795756317968e-06 5.695115906376477e-06 5.6557816722113725e-06 5.650619594617387e-06 5.656630123583307e-06 5.6703197266684245e-06 5.743773836241613e-06 5.856308526696631e-06 5.78237455395245e-06 5.925501386200676e-06 5.9623544874470585e-06 5.993623323438968e-06 5.910579002421938e-06 5.976641988990879e-06 5.998860690975782e-06 6.202696524412262e-06 6.109127761115958e-06 6.1353872783184416e-06 6.040507116443774e-06 6.166615069371705e-06 6.060334743045072e-06 6.105678338548454e-06 5.9480352118199546e-06 6.004554018759859e-06 6.1064289667279375e-06 6.277926940084818e-06 6.184230721285465e-06 6.199942424148987e-06 6.331933139134831e-06 6.280598739855468e-06 6.2956407326763984e-06 6.573350385167967e-06 6.514701244629133e-06 6.582025094666275e-06 6.660532652565627e-06 6.739673619401482e-06 6.812324256962931e-06 6.4845321608837545e-06 6.633609678225935e-06 6.832744644328869e-06 6.977693031070175e-06 6.8186518142790765e-06 6.812748945789595e-06 6.649103553598361e-06 6.800585225647691e-06 6.602745165593514e-06 6.926493308551515e-06 6.7741391230317246e-06 6.6611030181102695e-06 6.635767586905708e-06 6.7019659373576986e-06
5.282834935072025e-06 5.314842371789779e-06 5.365801666330918e-06 5.529594350372006e-06 5.546130102634817e-06 5.581599612234451e-06 5.591761380463531e-06 5.785451220556354e-06 5.722521785400803e-06 5.756243747529551e-06 5.75024425429702e-06 5.769287390182153e-06 5.802581669120943e-06 5.9246115068249805e-06 5.82375409680713e-06 5.9622226087426625e-06 6.0136028034863346e-06 6.041818426583016e-06 5.89067246673596e-06 5.950547055521534e-06 5.965470724796655e-06 6.177614455093728e-06 6.082395156604836e-06 6.154037029129021e-06 6.086099474704622e-06 6.220945932218478e-06 6.070035987586297e-06 6.2448796334511774e-06 6.028313179388537e-06 6.072535359441374e-06 6.202633986136774e-06 6.430272787170277e-06 6.344154250094873e-06 6.340050462207386e-06 6.4195354957342935e-06 6.393351012638074e-06 6.497828912848085e-06 6.720745176547223e-06 6.636664731789225e-06 6.737657294960047e-06 6.785359199185595e-06 6.850778111686262e-06 6.884653110458207e-06 6.5717010078774584e-06 6.673556059048599e-06 6.83517671456193e-06 6.940690047734376e-06 6.8689931360027405e-06 6.840946845564306e-06 6.703812379611127e-06 6.8467412547578336e-06 6.6171275566901745e-06 7.010372557803402e-06 6.80951495013998e-06 6.673226557488274e-06 6.7258211886539664e-06 6.813223446139012e-06
