    66   0.950740E+03   0.207827E+00  -0.251353E+01   0.398596E+07   0.647420E+04
    67   0.961998E+03   0.216691E+00  -0.277145E+01   0.397349E+07   0.637326E+04
    68   0.973389E+03   0.225707E+00  -0.303705E+01   0.396071E+07   0.627496E+04
    69   0.984942E+03   0.234870E+00  -0.331037E+01   0.394765E+07   0.617919E+04
    70   0.996701E+03   0.244174E+00  -0.359168E+01   0.393434E+07   0.608587E+04
    71   0.100869E+04   0.253617E+00  -0.388129E+01   0.392079E+07   0.599490E+04
    72   0.102094E+04   0.263198E+00  -0.417953E+01   0.390702E+07   0.590620E+04
    73   0.103347E+04   0.272912E+00  -0.448656E+01   0.389304E+07   0.581968E+04
    74   0.104618E+04   0.282750E+00  -0.480143E+01   0.387886E+07   0.573526E+04
    75   0.105898E+04   0.292703E+00  -0.512290E+01   0.386449E+07   0.565286E+04
    76   0.107174E+04   0.302757E+00  -0.544987E+01   0.384994E+07   0.557238E+04
    77   0.108440E+04   0.312904E+00  -0.578138E+01   0.383522E+07   0.549374E+04
    78   0.109703E+04   0.323133E+00  -0.611778E+01   0.382033E+07   0.541687E+04
    79   0.110975E+04   0.333433E+00  -0.645966E+01   0.380529E+07   0.534167E+04
    80   0.112268E+04   0.343795E+00  -0.680779E+01   0.379011E+07   0.526806E+04
    81   0.113590E+04   0.354208E+00  -0.716256E+01   0.377479E+07   0.519596E+04
    82   0.114942E+04   0.364662E+00  -0.752358E+01   0.375935E+07   0.512535E+04
    83   0.116320E+04   0.375146E+00  -0.789043E+01   0.374380E+07   0.505621E+04
    84   0.117721E+04   0.385650E+00  -0.826242E+01   0.372816E+07   0.498852E+04
    85   0.119143E+04   0.396162E+00  -0.863921E+01   0.371242E+07   0.492227E+04
    86   0.120582E+04   0.406673E+00  -0.902010E+01   0.369660E+07   0.485743E+04
    87   0.122035E+04   0.417171E+00  -0.940461E+01   0.368071E+07   0.479400E+04
    88   0.123500E+04   0.427645E+00  -0.979226E+01   0.366477E+07   0.473194E+04
    89   0.124977E+04   0.438082E+00  -0.101826E+02   0.364878E+07   0.467125E+04
    90   0.126467E+04   0.448468E+00  -0.105755E+02   0.363276E+07   0.461191E+04
    91   0.127969E+04   0.458791E+00  -0.109704E+02   0.361671E+07   0.455390E+04
    92   0.129485E+04   0.469038E+00  -0.113672E+02   0.360064E+07   0.449717E+04
    93   0.131014E+04   0.479197E+00  -0.117655E+02   0.358456E+07   0.444171E+04
    94   0.132558E+04   0.489259E+00  -0.121652E+02   0.356846E+07   0.438748E+04
    95   0.134117E+04   0.499211E+00  -0.125659E+02   0.355235E+07   0.433443E+04
    96   0.135690E+04   0.509041E+00  -0.129673E+02   0.353624E+07   0.428254E+04
    97   0.137278E+04   0.518739E+00  -0.133691E+02   0.352012E+07   0.423176E+04
    98   0.138882E+04   0.528290E+00  -0.137709E+02   0.350401E+07   0.418207E+04
    99   0.140499E+04   0.537684E+00  -0.141724E+02   0.348791E+07   0.413343E+04
   100   0.142130E+04   0.546913E+00  -0.145732E+02   0.347181E+07   0.408580E+04
   101   0.143776E+04   0.555963E+00  -0.149729E+02   0.345572E+07   0.403915E+04
   102   0.145436E+04   0.564816E+00  -0.153713E+02   0.343966E+07   0.399345E+04
   103   0.147109E+04   0.573474E+00  -0.157676E+02   0.342361E+07   0.394865E+04
   104   0.148795E+04   0.581911E+00  -0.161618E+02   0.340759E+07   0.390472E+04
   105   0.150492E+04   0.590122E+00  -0.165532E+02   0.339160E+07   0.386164E+04
   106   0.152202E+04   0.598096E+00  -0.169415E+02   0.337564E+07   0.381935E+04
   107   0.153922E+04   0.605827E+00  -0.173261E+02   0.335971E+07   0.377783E+04
   108   0.155651E+04   0.613297E+00  -0.177067E+02   0.334383E+07   0.373705E+04
   109   0.157390E+04   0.620500E+00  -0.180828E+02   0.332798E+07   0.369696E+04
   110   0.159139E+04   0.627418E+00  -0.184539E+02   0.331219E+07   0.365753E+04
   111   0.160895E+04   0.634047E+00  -0.188198E+02   0.329644E+07   0.361874E+04
   112   0.162659E+04   0.640384E+00  -0.191799E+02   0.328075E+07   0.358056E+04
   113   0.164432E+04   0.646413E+00  -0.195339E+02   0.326511E+07   0.354299E+04
   114   0.166211E+04   0.652126E+00  -0.198815E+02   0.324952E+07   0.350601E+04
   115   0.167997E+04   0.657528E+00  -0.202224E+02   0.323399E+07   0.346962E+04
   116   0.169791E+04   0.662612E+00  -0.205561E+02   0.321852E+07   0.343380E+04
   117   0.171591E+04   0.667359E+00  -0.208824E+02   0.320311E+07   0.339855E+04
   118   0.173396E+04   0.671778E+00  -0.212008E+02   0.318776E+07   0.336385E+04
