# Mon Aug 25 14:18:38 2014
#
# Cooling Map File
#
# Loop values:
# hden 2
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -26.1042  -27.0745  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -36.0095  -309.6527  -309.6527  -309.6527  -46.0796  -46.3245
3.10  -26.1118  -27.0888  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -35.9020  -309.6527  -309.6527  -309.6527  -41.3279  -41.5846
3.20  -26.1203  -27.1045  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -35.8225  -309.6527  -309.6527  -309.6527  -37.5325  -37.7985
3.30  -26.1296  -27.1218  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -35.7583  -309.6527  -52.8121  -52.9722  -34.5279  -34.8014
3.40  -26.1399  -27.1406  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -40.4801  -40.6650  -309.6527  -35.7029  -309.6527  -48.1992  -48.3889  -32.1645  -32.4439
3.50  -26.1512  -27.1610  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -37.7766  -37.9616  -34.2945  -35.6545  -39.6077  -44.5386  -44.7520  -30.3069  -30.5910
3.60  -26.1637  -27.1831  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -35.6407  -35.8257  -32.0682  -35.6139  -36.6378  -41.6352  -41.8673  -28.8439  -29.1316
3.70  -26.1773  -27.2070  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -33.9577  -34.1426  -30.3029  -35.5822  -34.2640  -39.3339  -39.5809  -27.6901  -27.9808
3.80  -26.1871  -27.2386  -309.6527  -309.6527  -309.6527  -309.6527  -309.6527  -32.6734  -32.8584  -28.9054  -34.9161  -32.3790  -37.5130  -37.7718  -26.7812  -27.0743
3.90  -25.9379  -27.2543  -309.6527  -309.6527  -309.6527  -309.6527  -34.5120  -31.6361  -31.8210  -27.7982  -32.8745  -30.8845  -36.0722  -36.3404  -26.0662  -26.3611
4.00  -24.8840  -26.8313  -309.6527  -309.6527  -309.6527  -309.6527  -32.8067  -30.7599  -30.9448  -26.9163  -31.1456  -29.6867  -34.9272  -35.2029  -25.4940  -25.7904
4.10  -23.6147  -25.5186  -309.6527  -309.6527  -309.6527  -309.6527  -31.1200  -29.7359  -29.9207  -26.0081  -29.3232  -28.2965  -33.7898  -34.0714  -24.8276  -25.1252
4.20  -22.2671  -24.0336  -309.6527  -309.6527  -309.6527  -309.6527  -29.2640  -28.4108  -28.5951  -24.7251  -26.4497  -25.7764  -31.8679  -32.1542  -23.8128  -24.1114
4.30  -22.1203  -23.7844  -309.6527  -309.6527  -309.6527  -309.6527  -27.0143  -26.5870  -26.7710  -24.3228  -24.6277  -24.2450  -28.9166  -29.2066  -23.8758  -24.1751
4.40  -22.3495  -23.9350  -30.9491  -31.2481  -309.6527  -309.6527  -25.1514  -25.0669  -25.2509  -24.5667  -23.8166  -23.6746  -26.3750  -26.6680  -24.4539  -24.7538
