# Mon Aug 25 13:22:43 2014
#
# Cooling Map File
#
# Loop values:
# hden -4
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
5.90  -24.8891  -26.2663  -25.1497  -25.4513  -23.9884  -24.2914  -27.9239  -29.3589  -29.5430  -35.6060  -31.0440  -32.1444  -27.8439  -28.1481  -297.6527  -297.6527
6.00  -25.0417  -26.3975  -25.4345  -25.7362  -24.2482  -24.5513  -28.4224  -29.8855  -30.0696  -37.0602  -32.3441  -33.4851  -28.9625  -29.2667  -297.6527  -297.6527
6.10  -25.1911  -26.5265  -25.9094  -26.2111  -24.4171  -24.7203  -29.0930  -30.5825  -30.7666  -38.7272  -33.8557  -35.0385  -30.3055  -30.6098  -297.6527  -297.6527
6.20  -25.3376  -26.6536  -26.5345  -26.8362  -24.5495  -24.8527  -29.8976  -31.4120  -31.5960  -297.6527  -35.6403  -297.6527  -31.9330  -32.2373  -297.6527  -297.6527
6.30  -25.4817  -26.7795  -27.2103  -27.5120  -24.7483  -25.0516  -30.7391  -32.2773  -32.4613  -297.6527  -37.8245  -297.6527  -33.9894  -34.2938  -297.6527  -297.6527
6.40  -25.6240  -26.9046  -27.8718  -28.1735  -25.1061  -25.4094  -31.5553  -33.1165  -33.3005  -297.6527  -41.1122  -297.6527  -36.2754  -36.5798  -297.6527  -297.6527
6.50  -25.7649  -27.0294  -28.4931  -28.7948  -25.6332  -25.9365  -32.3230  -33.9065  -34.0905  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
6.60  -25.9050  -27.1544  -29.0825  -29.3842  -26.2531  -26.5564  -33.0597  -34.6580  -34.8420  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
6.70  -26.0446  -27.2801  -29.6433  -29.9450  -26.8840  -27.1874  -33.7666  -35.3763  -35.5603  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
6.80  -26.1841  -27.4066  -30.1740  -30.4757  -27.4856  -27.7889  -34.4404  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
6.90  -26.3238  -27.5344  -30.6834  -30.9851  -28.0566  -28.3600  -35.0910  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.00  -26.4639  -27.6635  -31.1743  -31.4761  -28.5975  -28.9008  -35.7217  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.10  -26.6047  -27.7942  -31.6496  -31.9513  -29.1065  -29.4099  -36.3314  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.20  -26.7462  -27.9265  -32.1092  -32.4109  -29.5911  -29.8945  -39.7754  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.30  -26.8887  -28.0605  -32.5579  -32.8596  -30.0540  -30.3574  -37.5298  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.40  -27.0322  -28.1962  -32.9978  -33.2995  -30.4976  -30.8011  -38.0631  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.50  -27.1766  -28.3335  -33.4298  -33.7315  -30.9225  -31.2260  -41.4430  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.60  -27.3221  -28.4724  -33.8567  -34.1585  -31.3332  -31.6366  -41.9844  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.70  -27.4686  -28.6128  -34.2800  -34.5818  -31.7316  -32.0350  -42.5218  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.80  -27.6161  -28.7547  -34.7005  -35.0022  -32.1192  -32.4226  -43.0558  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
7.90  -27.7646  -28.8980  -35.1197  -35.4215  -32.4986  -32.8020  -43.5882  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
8.00  -27.9140  -29.0425  -35.5387  -35.8404  -32.8715  -33.1750  -44.1199  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527  -297.6527
