# Mon Aug 25 13:03:28 2014
#
# Cooling Map File
#
# Loop values:
# hden -6
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -22.7211  -23.6907  -25.3768  -25.6778  -293.6527  -293.6527  -26.4133  -293.6527  -293.6527  -293.6527  -30.0163  -293.6527  -293.6527  -293.6527  -50.8864  -51.1313
3.10  -22.7933  -23.7696  -25.4480  -25.7491  -293.6527  -293.6527  -26.2954  -293.6527  -293.6527  -293.6527  -30.1124  -293.6527  -293.6527  -293.6527  -46.6450  -46.9017
3.20  -22.8668  -23.8504  -25.5233  -25.8244  -293.6527  -293.6527  -26.2559  -293.6527  -293.6527  -293.6527  -30.2437  -293.6527  -293.6527  -293.6527  -43.3526  -43.6186
3.30  -22.9417  -23.9332  -25.6030  -25.9040  -293.6527  -293.6527  -26.2776  -293.6527  -293.6527  -293.6527  -30.4010  -293.6527  -47.4573  -47.6174  -40.8111  -41.0846
3.40  -23.0180  -24.0180  -25.6872  -25.9882  -45.0431  -45.2143  -26.3473  -36.6258  -36.8108  -293.6527  -30.5805  -293.6527  -43.0792  -43.2690  -38.8652  -39.1445
3.50  -23.0959  -24.1050  -25.7763  -26.0773  -40.1662  -40.3646  -26.4547  -34.1338  -34.3188  -293.6527  -30.7816  -38.0887  -39.6679  -39.8813  -37.3939  -37.6779
3.60  -23.1754  -24.1942  -25.8706  -26.1716  -36.3158  -36.5358  -26.5916  -32.2103  -32.3953  -293.6527  -31.0037  -36.2634  -37.0271  -37.2592  -36.3027  -36.5905
3.70  -23.2566  -24.2857  -25.9702  -26.2713  -33.2821  -33.5193  -26.7517  -30.7402  -30.9252  -293.6527  -31.2442  -34.8945  -34.9978  -35.2448  -35.5176  -35.8083
3.80  -23.3429  -24.3865  -26.0749  -26.3759  -30.8983  -31.1491  -26.9299  -29.6323  -29.8174  -37.5175  -31.4988  -33.8916  -33.4516  -33.7105  -34.9801  -35.2732
3.90  -23.4305  -24.4886  -26.1753  -26.4761  -29.0317  -29.2933  -27.1224  -28.8185  -29.0035  -36.7897  -31.7637  -33.1795  -32.2870  -32.5552  -293.6527  -293.6527
4.00  -23.5194  -24.5919  -26.2038  -26.5036  -27.5766  -27.8468  -27.3260  -28.2365  -28.4214  -36.2578  -32.0382  -32.6888  -31.4259  -31.7016  -293.6527  -293.6527
4.10  -23.6103  -24.6969  -26.0190  -26.3173  -26.4490  -26.7261  -27.5387  -27.8154  -28.0003  -35.8353  -32.3250  -32.3378  -30.8099  -31.0915  -293.6527  -293.6527
4.20  -23.7028  -24.8033  -25.6904  -25.9884  -25.5826  -25.8651  -27.7590  -27.4801  -27.6649  -35.4137  -32.6278  -32.0399  -30.3945  -30.6808  -293.6527  -293.6527
4.30  -23.7966  -24.9109  -25.3930  -25.6915  -24.9254  -25.2122  -27.9862  -27.1840  -27.3688  -34.9565  -32.9473  -31.7823  -30.1421  -30.4321  -293.6527  -293.6527
4.40  -23.8889  -25.0146  -25.1807  -25.4798  -24.4366  -24.7268  -26.9999  -26.9421  -27.1269  -34.5448  -31.7431  -31.6135  -30.0179  -30.3109  -293.6527  -293.6527
