# Mon Aug 25 13:46:27 2014
#
# Cooling Map File
#
# Loop values:
# hden -1.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -23.0954  -24.0651  -302.6526  -302.6526  -302.6526  -302.6526  -31.1260  -302.6526  -302.6526  -302.6526  -30.5493  -302.6526  -302.6526  -302.6526  -44.0602  -44.3052
3.10  -23.1369  -24.1133  -302.6526  -302.6526  -302.6526  -302.6526  -30.9094  -302.6526  -302.6526  -302.6526  -30.4314  -302.6526  -302.6526  -302.6526  -39.4895  -39.7462
3.20  -23.1813  -24.1650  -51.6447  -51.9042  -302.6526  -302.6526  -30.7606  -302.6526  -302.6526  -302.6526  -30.3433  -302.6526  -302.6526  -302.6526  -35.8656  -36.1316
3.30  -23.2288  -24.2203  -46.4169  -46.6851  -302.6526  -302.6526  -30.6615  -302.6526  -302.6526  -302.6526  -30.2713  -302.6526  -47.3276  -47.4877  -32.9940  -33.2675
3.40  -23.2794  -24.2794  -42.2584  -42.5335  -302.6526  -302.6526  -30.5983  -35.9444  -36.1294  -302.6526  -30.2088  -302.6526  -42.7074  -42.8972  -30.7207  -31.0000
3.50  -23.3332  -24.3424  -38.9482  -39.2289  -302.6526  -302.6526  -30.5607  -33.2616  -33.4467  -302.6526  -30.1539  -35.1608  -39.0403  -39.2536  -28.9230  -29.2070
3.60  -23.3904  -24.4092  -36.3116  -36.5965  -302.6526  -302.6526  -30.5415  -31.1212  -31.3062  -30.6658  -30.1072  -32.8152  -36.1306  -36.3627  -27.5042  -27.7920
3.70  -23.4510  -24.4801  -34.2104  -34.4988  -302.6526  -302.6526  -30.5358  -29.4156  -29.6007  -28.9268  -30.0688  -30.6789  -33.8223  -34.0693  -26.3883  -26.6791
3.80  -23.5183  -24.5620  -32.5365  -32.8277  -302.6526  -302.6526  -30.5411  -28.0621  -28.2471  -27.5584  -30.0377  -28.8602  -31.9906  -32.2494  -25.5161  -25.8092
3.90  -23.5861  -24.6466  -31.2031  -31.4965  -302.6526  -302.6526  -30.5549  -26.9955  -27.1805  -26.4906  -29.2939  -27.3953  -30.5355  -30.8037  -24.8395  -25.1344
4.00  -23.6084  -24.7291  -30.1407  -30.4358  -302.6526  -302.6526  -28.2036  -26.1585  -26.3435  -25.6707  -27.7018  -26.2450  -29.3775  -29.6532  -24.3162  -24.6126
4.10  -23.3284  -24.7344  -29.2923  -29.5887  -302.6526  -302.6526  -26.8838  -25.4997  -25.6846  -25.0579  -26.3846  -25.3579  -28.4316  -28.7132  -23.9134  -24.2110
4.20  -22.7483  -24.4014  -28.5908  -28.8883  -302.6526  -302.6526  -25.8451  -24.9916  -25.1765  -24.6252  -25.3388  -24.6651  -27.4866  -27.7729  -23.6731  -23.9716
4.30  -22.3724  -24.0072  -27.8786  -28.1770  -302.6526  -302.6526  -25.0599  -24.6323  -24.8171  -24.4372  -24.4505  -24.0673  -26.3243  -26.6143  -23.8790  -24.1782
4.40  -22.4057  -23.9765  -27.1467  -27.4458  -302.6526  -302.6526  -24.4473  -24.3625  -24.5473  -24.5896  -23.7961  -23.6535  -25.3145  -25.6076  -24.4426  -24.7424
4.50  -22.6000  -24.1205  -26.5899  -26.8895  -302.6526  -302.6526  -23.7186  -23.9107  -24.0954  -24.6886  -23.3812  -23.4401  -24.5660  -24.8614  -25.0073  -25.3077
4.60  -22.8097  -24.2956  -26.0461  -26.3462  -302.6526  -302.6526  -22.9680  -23.3847  -23.5693  -24.6999  -23.0999  -23.3250  -23.9482  -24.2455  -25.4997  -25.8004
4.70  -23.0084  -24.4729  -25.1589  -25.4593  -30.2015  -30.4983  -22.4538  -23.0535  -23.2381  -24.8013  -22.9269  -23.2824  -23.4732  -23.7719  -25.9259  -26.2269
4.80  -23.1904  -24.6436  -24.0184  -24.3191  -29.1106  -29.4088  -22.1389  -22.8886  -23.0731  -25.0349  -22.8680  -23.3338  -23.0810  -23.3809  -26.2827  -26.5840
4.90  -23.3508  -24.8001  -23.0659  -23.3668  -28.1010  -28.4002  -21.9528  -22.8261  -23.0107  -25.5149  -23.0574  -23.6176  -22.9163  -23.2172  -26.5353  -26.8367
5.00  -23.4996  -24.9517  -22.4278  -22.7289  -27.3553  -27.6554  -21.9673  -22.9432  -23.1277  -26.5916  -23.8553  -24.4970  -23.2889  -23.5905  -26.6957  -26.9973
5.10  -23.6475  -25.1055  -22.3770  -22.6782  -26.4299  -26.7307  -22.4736  -23.5352  -23.7197  -27.8568  -24.8608  -25.5739  -23.8678  -24.1700  -26.9012  -27.2029
5.20  -23.7932  -25.2579  -22.8068  -23.1081  -24.7584  -25.0597  -23.3846  -24.5185  -24.7029  -28.9822  -25.7439  -26.5201  -24.3672  -24.6698  -27.2465  -27.5483
5.30  -23.9341  -25.4069  -23.2981  -23.5995  -23.3955  -23.6972  -24.2970  -25.4924  -25.6768  -29.9084  -26.4444  -27.2773  -24.7249  -25.0280  -27.7437  -28.0456
5.40  -24.0715  -25.5524  -23.7401  -24.0416  -22.5240  -22.8261  -25.1120  -26.3605  -26.5448  -30.6615  -26.9869  -27.8713  -24.9594  -25.2627  -28.4155  -28.7174
5.50  -24.2217  -25.6972  -24.1240  -24.4256  -22.3769  -22.6793  -25.8305  -27.1251  -27.3094  -31.3679  -27.4960  -28.4281  -25.1898  -25.4933  -29.2407  -29.5427
5.60  -24.3936  -25.8434  -24.4486  -24.7502  -22.7684  -23.0710  -26.4582  -27.7936  -27.9778  -32.1686  -28.1111  -29.0877  -25.5515  -25.8552  -30.2329  -30.5349
5.70  -24.5602  -25.9854  -24.6990  -25.0006  -23.2191  -23.5218  -26.9855  -28.3573  -28.5415  -33.1335  -28.9003  -29.9193  -26.1091  -26.4130  -31.4268  -31.7288
5.80  -24.7220  -26.1235  -24.8765  -25.1782  -23.6223  -23.9252  -27.4170  -28.8218  -29.0060  -34.2662  -29.8658  -30.9258  -26.8621  -27.1661  -302.6526  -302.6526
5.90  -24.8792  -26.2582  -25.0672  -25.3688  -23.9618  -24.2648  -27.8408  -29.2758  -29.4600  -35.5565  -30.9953  -32.0956  -27.7956  -28.0997  -302.6526  -302.6526
6.00  -25.0325  -26.3899  -25.3779  -25.6795  -24.2187  -24.5218  -28.3653  -29.8284  -30.0125  -37.0230  -32.3084  -33.4493  -28.9271  -29.2313  -302.6526  -302.6526
