#Ion        Wavelength [A]           gamma         f_value       alt. name
Na I 5897.5581 6.139e7 0.3201
Na I 3303.369 9.641e6 0.00920
Na I 3303.978 9.639e6 0.00460
Na I 2853.012 5.54e5 6.77e-4
Na I 2852.811 5.54e5 1.35e-3
Mg I 2852.9642 5.000E+08 1.810E+00
Mg I 2026.4768 6.120E+07 1.120E-01
Mg I 1827.9351 1.610e7 0.024200
Mg I 1747.7937 6.61e6 0.00908
Mg I 1707.0606 3.330e6 0.00437
Mg II 2796.3520 2.625E+08 6.123E-01
Mg II 2803.5310 2.595E+08 3.054E-01
Mg II 1240.3947 1.540E+06 3.550E-04
Mg II 1239.9253 1.370E+06 6.330E-04
Mg II 1026.1134 2.48e6 3.92e-4
Mg II 1025.9681 2.35e6 7.43e-4
Mg X 624.95 2.000E8 0.0410
Mg X 609.79 2.000E8 0.0842
Al I 3945.1224 1.48e8 0.116
Al I 3083.0462 7.45e7 0.177
Al I 2367.7750 7.58e7 0.106
Al I 2264.1647 7.14e7 0.0892
Al II 1670.7874 1.390E+09 1.880E+00
Al III 1862.7895 5.340E+08 2.680E-01
Al III 1854.7164 5.420E+08 5.390E-01
Si I 2515.0730 2.220E+08 1.620E-01
Si I 1845.5200 1.760E+08 2.290E-01
Si I 1693.2939 1.21e8 0.156
Si I 1631.170 1.714e8 0.2051
Si I 1562.002 3.425e8 0.3758
Si II 2335.123 9.61e3 4.25E-6
Si II 1808.0130 2.380E+06 2.186E-03
Si II 1526.7066 1.130E+09 1.270E-01
Si II 1304.3702 1.010E+09 9.400E-02
Si II 1260.4221 2.950E+09 1.007E+00
Si II 1193.2897 4.070E+09 4.991E-01
Si II 1190.4158 4.080E+09 2.502E-01
Si II 1020.6989 6.680E+08 2.828E-02
Si II 989.8731 6.673E+08 1.330E-01
Si III 1206.5000 2.480E+09 1.660E+00
Si IV 1393.7550 8.800E+08 5.280E-01
Si IV 1402.7700 8.620E+08 2.620E-01
P I 1774.9487 2.38e8 0.169
P I 1782.8291 2.38e8 0.113
P II 1532.5330 4.770E+06 7.610E-03
P II 1301.8740 4.820E+07 1.730E-02
P II 1152.8180 1.230E+09 2.360E-01
P II 963.8010 4.140E+09 1.458E+00
P II 961.0412 5.09e9 0.3489
P III 1334.8132 6.32E7 0.0282
P III 997.9996 2.220E9 0.1117
P III 917.1180 4.780E+09 4.049E-01
P III 913.9680 4.790E+09 2.031E-01
P IV 950.6569 3.67e9 1.490
P V 1128.0080 1.220E+09 2.345E-01
P V 1117.9770 1.260E+09 4.732E-01
S I 1807.3110 5.330E+08 1.105E-01
S I 1473.9943 1.82e8 0.0828
S I 1295.6531 3.46e8 0.0870
S II 1259.5190 4.650E+07 1.624E-02
S II 1253.8110 4.620E+07 1.088E-02
S II 1250.5840 4.630E+07 5.453E-03
S III 1190.2080 6.650E+07 2.217E-02
S III 1012.5020 2.810E+08 3.550E-02
S IV 1062.6620 1.690E+08 3.999E-02
S VI 944.5230 1.610E+09 2.181E-01
S VI 933.3780 1.670E+09 4.414E-01
Cl I 1347.2400 6.620E+08 1.186E-01
Ar I 1066.6600 1.320E+08 6.747E-02
Ar I 1048.2199 3.180E+07 2.628E-01
Ca I 4227.9180 2.200E+08 1.940E+00
Ca I 2276.169 2.84e7 0.0661
Ca II 3934.7770 1.444E+08 6.500E-01
Ca II 3969.5910 1.409E+08 3.220E-01
Ti II 3384.7400 1.750E+08 3.400E-01
Ti II 3242.9290 2.440E+08 1.832E-01
Ti II 3230.1310 2.440E+08 5.860E-02
Ti II 3073.8770 2.560E+08 1.091E-01
Ti II 3067.2379 2.500e8 0.0489
Ti II 1910.9380 1.430E+08 9.800E-02
Ti II 1910.6000 4.170E+08 2.020E-01
Ti III 1298.697 6.35e8 0.0964
Ti III 1295.884 1.66e8 0.0418
Cr II 2066.1610 4.170E+08 5.150E-02
Cr II 2062.2340 4.060E+08 7.800E-02
Cr II 2056.2539 4.070E+08 1.050E-01
Mn II 2606.4620 2.720E+08 1.927E-01
Mn II 2594.4990 2.780E+08 2.710E-01
Mn II 2576.8770 2.820E+08 3.508E-01
Mn II 1201.118 7.85e8 0.121
Mn II 1199.3910 7.850E+08 1.059E-01
Mn II 1197.1840 7.840E+08 1.566E-01
Mn II 1162.015 3.90e7 0.0102
Fe I 3720.9930 1.630E+07 4.119E-02
Fe I 3021.5189 1.690E+08 1.039E-01
Fe I 2967.7650 1.270E+08 4.380E-02
Fe I 2719.8329 1.75E8 0.122
Fe I 2523.6080 3.850E+08 2.790E-01
Fe I 2501.8860 3.850E+08 4.960E-02
Fe I 2484.0210 5.000E+08 5.570E-01
Fe I 2463.3920 5.000E+08 5.320E-02
Fe I 2167.4530 2.740E+08 1.500E-01
Fe II 2600.1729 2.700E+08 2.390E-01
Fe II 2586.6500 2.720E+08 6.910E-02
Fe II 2382.7650 3.130E+08 3.200E-01
Fe II 2374.4612 3.09E8 0.0313
Fe II 2344.2140 2.680E+08 1.140E-01
Fe II 2260.7805 2.58e8 0.00244
Fe II 2234.4472 2.75e8 2.52e-5
Fe II 2249.8768 3.31e8 0.001821
Fe II 1901.7730 1.610E+05 1.009E-04
Fe II 1611.2005 2.860E+08 1.360E-03
Fe II 1608.4511 2.740E+08 5.800E-02
Fe II 1588.6876 4.89e5 1.48e-4
Fe II 1260.5330 1.260E+08 2.500E-02
Fe II 1144.9379 3.520E+08 1.060E-01
Fe II 1143.2260 9.810E+07 1.770E-02
Fe II 1142.3656 2.560E+07 4.200E-03
Fe II 1133.6650 3.060E+07 5.500E-03
Fe II 1127.0984 5.89e6 1.12e-3
Fe II 1125.4478 1.030E+08 1.600E-02
Fe II 1121.9748 1.920E+08 2.020E-02
Fe II 1112.0480 2.000E+07 6.290E-03
Fe II 1106.3596 2.150E+06 1.500E-03
Fe II 1096.8769 2.260E+08 3.240E-02
Fe II 1083.4204 2.000E8 0.002800
Fe II 1081.8748 2.000E+08 1.400E-02
Fe II 1063.9718 3.500E+07 3.718E-03
Fe II 1063.1760 3.230E+08 6.000E-02
Fe II 1062.1520 1.720E+07 3.800E-03
Fe II 1055.2617 4.610E+07 7.514E-03
Fe III 1214.562 1.39e6 2.39e-4
Fe III 1122.5260 3.700E+08 5.390E-02
Co II 2059.4756 2.78e8 0.00751
Co II 2026.4122 3.03e8 0.0125
Co II 2012.1664 3.450E+08 3.679E-02
Co II 1941.2852 4.35e8 0.0340
Co II 1574.5503 6.730E+07 2.500E-02
Co II 1572.6489 4.16e7 0.0120
Co II 1552.7624 3.21e7 0.0116
Co II 1480.9546 4.65e7 0.0119
Co II 1466.2120 3.780E+07 3.100E-02
Co II 1424.7866 3.58e7 0.0109
Ni I 2320.7468 6.94E8 0.685
Ni I 2311.669 4.700E8 0.376500
Ni II 1751.9157 3.70E8 0.027700
Ni II 1741.5531 5.00E8 0.042700
Ni II 1709.6042 4.35e8 0.0324
Ni II 1703.4050 5.000E+08 6.000E-03
Ni II 1502.148 3.932E7 0.01330
Ni II 1467.756 2.30E7 0.00990
Ni II 1467.259 2.93E7 0.00630
Ni II 1454.842 1.02E8 0.0323
Ni II 1393.324 3.47E7 0.0101
Ni II 1370.1310 4.100E+08 7.690E-02
Ni II 1317.2170 4.205E+08 7.786E-02
Cu II 1367.9509 6.23e8 0.179
Cu II 1358.7730 7.200E+08 3.803E-01
Zn II 2062.6640 3.860E+08 2.560E-01
Zn II 2026.1360 4.070E+08 4.890E-01
Ge II 1602.4863 9.906E+08 1.436E-01
Ga II 1414.4020 1.970E+09 1.800E+00
    
    
