#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         0.25902      0.00302711      0.00302711      0.00302711
        0.275423      0.00264272      0.00264272      0.00264272
        0.292864       0.0023632       0.0023632       0.0023632
        0.311411      0.00210093      0.00210093      0.00210093
        0.331131      0.00183781      0.00183781      0.00183781
        0.352101      0.00162803      0.00162803      0.00162803
        0.374398       0.0014359       0.0014359       0.0014359
        0.398107       0.0012597       0.0012597       0.0012597
        0.423318      0.00111042      0.00111042      0.00111042
        0.450125     0.000973247     0.000973247     0.000973247
         0.47863     0.000854727     0.000854727     0.000854727
         0.50894     0.000748468     0.000748468     0.000748468
         0.54117     0.000655578     0.000655578     0.000655578
         0.57544     0.000573229     0.000573229     0.000573229
        0.611881      0.00050097      0.00050097      0.00050097
        0.650629      0.00043738      0.00043738      0.00043738
        0.691831     0.000381495     0.000381495     0.000381495
        0.735642     0.000332497     0.000332497     0.000332497
        0.782228     0.000289553     0.000289553     0.000289553
        0.831764     0.000251943     0.000251943     0.000251943
        0.884437     0.000219043     0.000219043     0.000219043
        0.940445     0.000190291     0.000190291     0.000190291
               1     0.000165189     0.000165189     0.000165189
         1.06333     0.000143291     0.000143291     0.000143291
         1.13066     0.000124206     0.000124206     0.000124206
         1.20226     0.000107585     0.000107585     0.000107585
          1.2784     9.31245e-05     9.31245e-05     9.31245e-05
         1.35936     8.05534e-05     8.05534e-05     8.05534e-05
         1.44544     6.96319e-05     6.96319e-05     6.96319e-05
         1.53697     6.01527e-05     6.01527e-05     6.01527e-05
         1.63431     5.19303e-05     5.19303e-05     5.19303e-05
          1.7378      4.4804e-05      4.4804e-05      4.4804e-05
         1.84785     3.86321e-05     3.86321e-05     3.86321e-05
         1.96487     3.32905e-05     3.32905e-05     3.32905e-05
          2.0893     2.86707e-05     2.86707e-05     2.86707e-05
          2.2216      2.4678e-05      2.4678e-05      2.4678e-05
         2.36229     2.12294e-05     2.12294e-05     2.12294e-05
         2.51189     1.82527e-05     1.82527e-05     1.82527e-05
         2.67096      1.5685e-05      1.5685e-05      1.5685e-05
          2.8401     1.34715e-05     1.34715e-05     1.34715e-05
         3.01995     1.15644e-05     1.15644e-05     1.15644e-05
         3.21119      9.9224e-06      9.9224e-06      9.9224e-06
         3.41455     8.50936e-06     8.50936e-06     8.50936e-06
         3.63078     7.29407e-06     7.29407e-06     7.29407e-06
         3.86071     6.24942e-06     6.24942e-06     6.24942e-06
         4.10519     5.35195e-06     5.35195e-06     5.35195e-06
         4.36516     4.58131e-06     4.58131e-06     4.58131e-06
         4.64159     3.91994e-06     3.91994e-06     3.91994e-06
         4.93552     3.35261e-06     3.35261e-06     3.35261e-06
         5.24807      2.8662e-06      2.8662e-06      2.8662e-06
         5.58042     2.44936e-06     2.44936e-06     2.44936e-06
         5.93381     2.09231e-06     2.09231e-06     2.09231e-06
         6.30957     1.78662e-06     1.78662e-06     1.78662e-06
         6.70914     1.52501e-06     1.52501e-06     1.52501e-06
           7.134     1.30122e-06     1.30122e-06     1.30122e-06
         7.58578     1.10987e-06     1.10987e-06     1.10987e-06
         8.06616     9.46319e-07     9.46319e-07     9.46319e-07
         8.57696     8.06591e-07     8.06591e-07     8.06591e-07
         9.12011     6.87261e-07     6.87261e-07     6.87261e-07
         9.69765     5.85391e-07     5.85391e-07     5.85391e-07
         10.3118     4.98459e-07     4.98459e-07     4.98459e-07
         10.9648     4.24302e-07     4.24302e-07     4.24302e-07
         11.6591     3.61066e-07     3.61066e-07     3.61066e-07
         12.3975      3.0716e-07      3.0716e-07      3.0716e-07
         13.1826     2.61225e-07     2.61225e-07     2.61225e-07
         14.0174     2.22095e-07     2.22095e-07     2.22095e-07
          14.905     1.88772e-07     1.88772e-07     1.88772e-07
         15.8489     1.60405e-07     1.60405e-07     1.60405e-07
         16.8526     1.36263e-07     1.36263e-07     1.36263e-07
         17.9198     1.15724e-07     1.15724e-07     1.15724e-07
         19.0546     9.82551e-08     9.82551e-08     9.82551e-08
         20.2613     8.34018e-08     8.34018e-08     8.34018e-08
         21.5443     7.07762e-08     7.07762e-08     7.07762e-08
         22.9087     6.00472e-08     6.00472e-08     6.00472e-08
         24.3594     5.09324e-08     5.09324e-08     5.09324e-08
          25.902     4.31909e-08     4.31909e-08     4.31909e-08
         27.5423     3.66177e-08     3.66177e-08     3.66177e-08
         29.2864     3.10379e-08     3.10379e-08     3.10379e-08
         31.1411     2.63025e-08     2.63025e-08     2.63025e-08
         33.1131     2.22847e-08     2.22847e-08     2.22847e-08
         35.2101     1.88766e-08     1.88766e-08     1.88766e-08
         37.4398     1.59864e-08     1.59864e-08     1.59864e-08
         39.8107      1.3536e-08      1.3536e-08      1.3536e-08
         42.3318     1.14588e-08     1.14588e-08     1.14588e-08
         45.0125     9.69854e-09     9.69854e-09     9.69854e-09
          47.863     8.20707e-09     8.20707e-09     8.20707e-09
          50.894     6.94364e-09     6.94364e-09     6.94364e-09
          54.117     5.87362e-09     5.87362e-09     5.87362e-09
          57.544     4.96759e-09     4.96759e-09     4.96759e-09
         61.1881     4.20056e-09     4.20056e-09     4.20056e-09
         65.0629     3.55134e-09     3.55134e-09     3.55134e-09
         69.1831     3.00194e-09     3.00194e-09     3.00194e-09
         73.5642     2.53711e-09     2.53711e-09     2.53711e-09
         78.2228      2.1439e-09      2.1439e-09      2.1439e-09
         83.1764     1.81133e-09     1.81133e-09     1.81133e-09
         88.4437      1.5301e-09      1.5301e-09      1.5301e-09
         94.0445     1.29233e-09     1.29233e-09     1.29233e-09
             100     1.09135e-09     1.09135e-09     1.09135e-09
         106.333     9.21475e-10     9.21475e-10     9.21475e-10
         113.066     7.77928e-10     7.77928e-10     7.77928e-10
         120.226     6.56646e-10     6.56646e-10     6.56646e-10
          127.84     5.54192e-10     5.54192e-10     5.54192e-10
         135.936     4.67657e-10     4.67657e-10     4.67657e-10
         144.544     3.94579e-10     3.94579e-10     3.94579e-10
         153.697     3.32874e-10     3.32874e-10     3.32874e-10
         163.431     2.80781e-10     2.80781e-10     2.80781e-10
          173.78     2.36809e-10     2.36809e-10     2.36809e-10
         184.785     1.99696e-10     1.99696e-10     1.99696e-10
         196.487     1.68378e-10     1.68378e-10     1.68378e-10
          208.93     1.41954e-10     1.41954e-10     1.41954e-10
          222.16     1.19661e-10     1.19661e-10     1.19661e-10
         236.229     1.00857e-10     1.00857e-10     1.00857e-10
         251.189     8.49979e-11     8.49979e-11     8.49979e-11
         267.096     7.16237e-11     7.16237e-11     7.16237e-11
          284.01     6.03468e-11     6.03468e-11     6.03468e-11
         301.995     5.08396e-11     5.08396e-11     5.08396e-11
         321.119     4.28252e-11     4.28252e-11     4.28252e-11
         341.455     3.60702e-11     3.60702e-11     3.60702e-11
         363.078     3.03773e-11     3.03773e-11     3.03773e-11
         386.071     2.55801e-11     2.55801e-11     2.55801e-11
         410.519     2.15382e-11     2.15382e-11     2.15382e-11
         436.516      1.8133e-11      1.8133e-11      1.8133e-11
         464.159     1.52646e-11     1.52646e-11     1.52646e-11
         493.552     1.28486e-11     1.28486e-11     1.28486e-11
         524.807     1.08139e-11     1.08139e-11     1.08139e-11
         558.042     9.10049e-12     9.10049e-12     9.10049e-12
         593.381     7.65782e-12     7.65782e-12     7.65782e-12
         630.957     6.44322e-12     6.44322e-12     6.44322e-12
         670.914     5.42075e-12     5.42075e-12     5.42075e-12
           713.4      4.5601e-12      4.5601e-12      4.5601e-12
         758.578     3.83574e-12     3.83574e-12     3.83574e-12
         806.616     3.22614e-12     3.22614e-12     3.22614e-12
         857.696     2.71318e-12     2.71318e-12     2.71318e-12
         912.011     2.28157e-12     2.28157e-12     2.28157e-12
         969.765     1.91846e-12     1.91846e-12     1.91846e-12
         1031.18     1.61299e-12     1.61299e-12     1.61299e-12
         1096.48     1.35604e-12     1.35604e-12     1.35604e-12
         1165.91     1.13993e-12     1.13993e-12     1.13993e-12
         1239.75     9.58183e-13     9.58183e-13     9.58183e-13
         1318.26     8.05344e-13     8.05344e-13     8.05344e-13
         1401.74     6.76829e-13     6.76829e-13     6.76829e-13
          1490.5     5.68776e-13     5.68776e-13     5.68776e-13
         1584.89     4.77935e-13     4.77935e-13     4.77935e-13
         1685.26     4.01571e-13     4.01571e-13     4.01571e-13
         1791.98     3.37382e-13     3.37382e-13     3.37382e-13
         1905.46     2.83432e-13     2.83432e-13     2.83432e-13
         2026.13      2.3809e-13      2.3809e-13      2.3809e-13
         2154.43     1.99987e-13     1.99987e-13     1.99987e-13
         2290.87      1.6797e-13      1.6797e-13      1.6797e-13
         2435.94     1.41068e-13     1.41068e-13     1.41068e-13
          2590.2     1.18466e-13     1.18466e-13     1.18466e-13
         2754.23     9.94783e-14     9.94783e-14     9.94783e-14
         2928.64      8.3528e-14      8.3528e-14      8.3528e-14
         3114.11     7.01303e-14     7.01303e-14     7.01303e-14
         3311.31     5.88775e-14     5.88775e-14     5.88775e-14
         3521.01     4.94269e-14     4.94269e-14     4.94269e-14
         3743.98     4.14905e-14     4.14905e-14     4.14905e-14
         3981.07      3.4826e-14      3.4826e-14      3.4826e-14
         4233.18     2.92302e-14     2.92302e-14     2.92302e-14
         4501.25     2.45319e-14     2.45319e-14     2.45319e-14
          4786.3     2.05874e-14     2.05874e-14     2.05874e-14
          5089.4     1.72761e-14     1.72761e-14     1.72761e-14
          5411.7     1.44964e-14     1.44964e-14     1.44964e-14
          5754.4     1.21633e-14     1.21633e-14     1.21633e-14
         6118.81      1.0205e-14      1.0205e-14      1.0205e-14
         6506.29     8.56149e-15     8.56149e-15     8.56149e-15
         6918.31     7.18224e-15     7.18224e-15     7.18224e-15
         7356.42     6.02482e-15     6.02482e-15     6.02482e-15
         7822.28     5.05362e-15     5.05362e-15     5.05362e-15
         8317.64     4.23873e-15     4.23873e-15     4.23873e-15
         8844.37     3.55504e-15     3.55504e-15     3.55504e-15
         9404.45     2.98145e-15     2.98145e-15     2.98145e-15
