# Mon Aug 25 13:17:48 2014
#
# Cooling Map File
#
# Loop values:
# hden -4.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -22.7375  -23.7071  -26.4108  -26.7118  -296.6526  -296.6526  -26.2442  -296.6526  -296.6526  -296.6526  -27.3498  -296.6526  -296.6526  -296.6526  -46.0404  -46.2854
3.10  -22.8087  -23.7850  -26.4214  -26.7225  -296.6526  -296.6526  -26.0806  -296.6526  -296.6526  -296.6526  -27.3144  -296.6526  -296.6526  -296.6526  -41.6321  -41.8888
3.20  -22.8812  -23.8648  -26.4268  -26.7278  -296.6526  -296.6526  -25.9761  -296.6526  -296.6526  -296.6526  -27.3138  -296.6526  -296.6526  -296.6526  -38.1817  -38.4477
3.30  -22.9550  -23.9466  -26.4268  -26.7279  -296.6526  -296.6526  -25.9126  -296.6526  -296.6526  -296.6526  -27.3341  -296.6526  -44.3904  -44.5505  -35.4943  -35.7677
3.40  -23.0304  -24.0304  -26.4226  -26.7236  -46.3937  -46.5649  -25.8789  -34.6651  -34.8501  -296.6526  -27.3690  -296.6526  -39.8676  -40.0574  -33.4132  -33.6926
3.50  -23.1072  -24.1164  -26.4153  -26.7164  -41.3649  -41.5633  -25.8682  -32.0539  -32.2389  -296.6526  -27.4175  -33.2469  -36.3038  -36.5172  -31.8125  -32.0965
3.60  -23.1858  -24.2046  -26.4062  -26.7072  -37.3664  -37.5864  -25.8756  -29.9997  -30.1848  -296.6526  -27.4803  -31.2587  -33.5037  -33.7358  -30.5911  -30.8789
3.70  -23.2661  -24.2952  -26.3961  -26.6971  -34.1960  -34.4331  -25.8977  -28.3904  -28.5754  -31.8346  -27.5577  -29.7238  -31.3112  -31.5582  -29.6697  -29.9604
3.80  -23.3515  -24.3951  -26.3748  -26.6755  -31.6930  -31.9438  -25.9318  -27.1371  -27.3222  -30.6700  -27.6491  -28.5554  -29.6019  -29.8607  -28.9867  -29.2798
3.90  -23.4383  -24.4964  -26.1843  -26.4826  -29.7237  -29.9853  -25.9769  -26.1746  -26.3596  -29.7937  -27.7545  -27.6821  -28.2778  -28.5460  -28.4948  -28.7898
4.00  -23.5264  -24.5990  -25.5336  -25.8295  -28.1728  -28.4430  -26.0346  -25.4453  -25.6302  -29.1345  -27.8760  -27.0371  -27.2637  -27.5394  -28.1570  -28.4534
4.10  -23.6158  -24.7032  -24.7971  -25.0936  -26.9449  -27.2219  -26.1124  -24.8883  -25.0732  -28.6121  -27.4386  -26.5435  -26.5059  -26.7875  -27.9434  -28.2410
4.20  -23.7028  -24.8078  -24.2153  -24.5129  -25.9717  -26.2542  -25.2482  -24.4434  -24.6283  -28.1272  -26.7823  -26.1254  -25.9701  -26.2564  -27.8301  -28.1286
4.30  -23.7743  -24.9081  -23.7998  -24.0982  -25.2160  -25.5027  -24.4917  -24.0699  -24.2547  -27.6477  -26.1601  -25.7791  -25.6275  -25.9176  -27.8009  -28.1001
4.40  -23.8020  -24.9860  -23.5155  -23.8146  -24.6600  -24.9502  -23.8533  -23.7693  -23.9541  -27.2468  -25.6886  -25.5465  -25.4367  -25.7297  -27.8542  -28.1541
4.50  -23.7672  -25.0244  -23.3199  -23.6195  -24.2800  -24.5729  -23.3584  -23.5506  -23.7354  -27.0011  -25.3730  -25.4320  -25.3475  -25.6429  -28.0183  -28.3186
4.60  -23.6916  -25.0179  -23.1805  -23.4806  -24.0372  -24.3323  -22.9916  -23.4083  -23.5930  -26.9458  -25.1890  -25.4142  -25.3184  -25.6156  -28.3287  -28.6294
4.70  -23.6243  -24.9963  -23.0772  -23.3776  -23.8903  -24.1871  -22.7309  -23.3307  -23.5153  -27.0811  -25.1250  -25.4805  -25.3083  -25.6071  -28.7237  -29.0247
4.80  -23.6005  -24.9985  -22.9935  -23.2942  -23.7980  -24.0962  -22.5618  -23.3115  -23.4961  -27.3939  -25.1832  -25.6490  -25.2606  -25.5605  -29.0630  -29.3643
4.90  -23.6284  -25.0423  -22.9016  -23.2025  -23.7165  -24.0157  -22.4983  -23.3716  -23.5561  -27.8677  -25.3835  -25.9437  -25.1605  -25.4614  -29.1841  -29.4855
5.00  -23.6934  -25.1211  -22.8028  -23.1039  -23.5945  -23.8946  -22.6206  -23.5964  -23.7809  -28.4888  -25.7350  -26.3768  -25.1158  -25.4174  -29.0388  -29.3404
5.10  -23.7847  -25.2247  -22.8399  -23.1412  -23.4029  -23.7037  -23.0378  -24.0994  -24.2839  -29.2338  -26.2260  -26.9391  -25.2071  -25.5093  -28.7699  -29.0716
5.20  -23.8937  -25.3442  -23.1143  -23.4157  -23.1452  -23.4465  -23.7326  -24.8664  -25.0509  -30.0340  -26.7872  -27.5634  -25.3973  -25.6999  -28.5888  -28.8906
5.30  -24.0108  -25.4719  -23.5244  -23.8258  -22.8076  -23.1093  -24.5418  -25.7373  -25.9216  -30.7663  -27.2958  -28.1287  -25.5689  -25.8719  -28.6511  -28.9530
5.40  -24.1325  -25.6033  -23.9506  -24.2521  -22.4886  -22.7907  -25.3323  -26.5808  -26.7651  -31.3837  -27.7039  -28.5884  -25.6717  -25.9750  -29.0143  -29.3162
