# Mon Aug 25 13:37:14 2014
#
# Cooling Map File
#
# Loop values:
# hden -2.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
5.90  -24.8795  -26.2584  -25.0696  -25.3713  -23.9626  -24.2656  -27.8433  -29.2783  -29.4625  -35.5575  -30.9967  -32.0971  -27.7970  -28.1011  -300.6526  -300.6526
6.00  -25.0328  -26.3901  -25.3795  -25.6812  -24.2195  -24.5226  -28.3670  -29.8301  -30.0142  -37.0247  -32.3094  -33.4504  -28.9281  -29.2323  -300.6526  -300.6526
6.10  -25.1825  -26.5193  -25.8755  -26.1772  -24.3871  -24.6902  -29.0587  -30.5481  -30.7322  -38.8757  -33.8291  -35.0118  -30.2792  -30.5835  -300.6526  -300.6526
6.20  -25.3291  -26.6465  -26.5163  -26.8180  -24.5216  -24.8248  -29.8791  -31.3934  -31.5775  -300.6526  -35.6146  -300.6526  -31.9092  -32.2135  -300.6526  -300.6526
6.30  -25.4733  -26.7723  -27.2006  -27.5023  -24.7252  -25.0284  -30.7291  -32.2673  -32.4514  -300.6526  -37.7860  -300.6526  -33.9678  -34.2722  -300.6526  -300.6526
6.40  -25.6154  -26.8973  -27.8662  -28.1679  -25.0886  -25.3919  -31.5494  -33.1107  -33.2947  -300.6526  -41.0926  -300.6526  -36.2558  -36.5602  -300.6526  -300.6526
6.50  -25.7561  -27.0218  -28.4895  -28.7912  -25.6217  -25.9250  -32.3192  -33.9027  -34.0867  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
6.60  -25.8958  -27.1465  -29.0799  -29.3817  -26.2462  -26.5495  -33.0569  -34.6552  -34.8392  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
6.70  -26.0350  -27.2717  -29.6414  -29.9431  -26.8797  -27.1831  -33.7644  -35.3741  -35.5580  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
6.80  -26.1739  -27.3977  -30.1724  -30.4742  -27.4827  -27.7860  -34.4385  -36.0592  -36.2431  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
6.90  -26.3130  -27.5248  -30.6820  -30.9837  -28.0545  -28.3579  -35.0892  -36.7207  -36.9045  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.00  -26.4523  -27.6531  -31.1731  -31.4748  -28.5958  -28.8992  -35.7206  -37.3626  -37.5465  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.10  -26.5923  -27.7830  -31.6485  -31.9502  -29.1051  -29.4085  -36.3349  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.20  -26.7329  -27.9144  -32.1081  -32.4099  -29.5899  -29.8933  -36.9155  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.30  -26.8743  -28.0473  -32.5568  -32.8586  -30.0529  -30.3563  -40.3393  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.40  -27.0166  -28.1818  -32.9968  -33.2985  -30.4966  -30.8000  -40.8949  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.50  -27.1597  -28.3179  -33.4288  -33.7306  -30.9215  -31.2249  -41.4420  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.60  -27.3038  -28.4554  -33.8557  -34.1575  -31.3322  -31.6356  -41.9834  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.70  -27.4487  -28.5943  -34.2790  -34.5808  -31.7305  -32.0340  -42.5208  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.80  -27.5902  -28.7302  -34.6953  -34.9970  -32.1138  -32.4172  -43.0506  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
7.90  -27.7411  -28.8760  -35.1188  -35.4205  -32.4974  -32.8009  -43.5873  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
8.00  -27.8885  -29.0186  -35.5376  -35.8394  -32.8703  -33.1737  -44.1189  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526  -300.6526
