# Mon Aug 25 13:08:13 2014
#
# Cooling Map File
#
# Loop values:
# hden -5.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -22.7235  -23.6931  -25.4596  -25.7606  -294.6526  -294.6526  -26.0266  -294.6526  -294.6526  -294.6526  -28.6679  -294.6526  -294.6526  -294.6526  -48.8969  -49.1418
3.10  -22.7954  -23.7718  -25.5017  -25.8028  -294.6526  -294.6526  -25.8816  -294.6526  -294.6526  -294.6526  -28.7322  -294.6526  -294.6526  -294.6526  -44.6207  -44.8774
3.20  -22.8687  -23.8523  -25.5457  -25.8467  -294.6526  -294.6526  -25.8113  -294.6526  -294.6526  -294.6526  -28.8315  -294.6526  -294.6526  -294.6526  -41.2941  -41.5601
3.30  -22.9433  -23.9349  -25.5919  -25.8929  -294.6526  -294.6526  -25.7987  -294.6526  -294.6526  -294.6526  -28.9546  -294.6526  -46.0109  -46.1710  -38.7172  -38.9907
3.40  -23.0195  -24.0195  -25.6413  -25.9423  -45.0435  -45.2147  -25.8315  -35.6113  -35.7963  -294.6526  -29.0964  -294.6526  -41.5951  -41.7849  -36.7320  -37.0113
3.50  -23.0972  -24.1063  -25.6947  -25.9958  -40.1025  -40.3009  -25.9003  -33.0805  -33.2655  -294.6526  -29.2564  -36.0657  -38.1427  -38.3561  -35.2143  -35.4984
3.60  -23.1765  -24.1954  -25.7529  -26.0539  -36.1941  -36.4141  -25.9978  -31.1174  -31.3024  -294.6526  -29.4349  -34.1965  -35.4583  -35.6904  -34.0674  -34.3552
3.70  -23.2577  -24.2867  -25.8162  -26.1172  -33.1094  -33.3466  -26.1182  -29.6074  -29.7924  -294.6526  -29.6314  -32.7832  -33.3849  -33.6319  -33.2161  -33.5068
3.80  -23.3438  -24.3874  -25.8831  -26.1841  -30.6816  -30.9324  -26.2566  -28.4596  -28.6447  -34.8629  -29.8433  -31.7375  -31.7961  -32.0550  -32.6036  -32.8967
3.90  -23.4313  -24.4895  -25.9261  -26.2265  -28.7763  -29.0379  -26.4094  -27.6061  -27.7910  -34.0959  -30.0681  -30.9852  -30.5915  -30.8597  -32.1871  -32.4820
4.00  -23.5201  -24.5927  -25.7859  -26.0843  -27.2849  -27.5551  -26.5737  -26.9846  -27.1695  -33.5281  -30.3049  -30.4567  -29.6926  -29.9683  -31.9320  -32.2284
4.10  -23.6109  -24.6976  -25.3618  -25.6591  -26.1208  -26.3979  -26.7479  -26.5248  -26.7097  -33.0724  -30.5551  -30.0689  -29.0401  -29.3217  -31.8092  -32.1068
4.20  -23.7030  -24.8039  -24.9045  -25.2022  -25.2173  -25.4997  -26.9311  -26.1524  -26.3372  -32.6197  -30.8218  -29.7349  -28.5884  -28.8747  -31.7943  -32.0929
4.30  -23.7951  -24.9108  -24.5447  -24.8431  -24.5246  -24.8113  -27.1229  -25.8210  -26.0058  -32.1339  -29.8033  -29.4422  -28.3008  -28.5908  -31.8682  -32.1675
