# Mon Aug 25 13:32:32 2014
#
# Cooling Map File
#
# Loop values:
# hden -3
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -22.7708  -23.7405  -28.6312  -28.9322  -299.6527  -299.6527  -28.0561  -299.6527  -299.6527  -299.6527  -28.1991  -299.6527  -299.6527  -299.6527  -44.2165  -44.4615
3.10  -22.8404  -23.8167  -28.6299  -28.9309  -299.6527  -299.6527  -27.8697  -299.6527  -299.6527  -299.6527  -28.0907  -299.6527  -299.6527  -299.6527  -39.7037  -39.9604
3.20  -22.9115  -23.8951  -28.6215  -28.9225  -299.6527  -299.6527  -27.7411  -299.6527  -299.6527  -299.6527  -28.0150  -299.6527  -299.6527  -299.6527  -36.1404  -36.4064
3.30  -22.9843  -23.9758  -28.6049  -28.9060  -299.6527  -299.6527  -27.6496  -299.6527  -299.6527  -299.6527  -27.9558  -299.6527  -45.0122  -45.1722  -33.3322  -33.6056
3.40  -23.0587  -24.0588  -28.5814  -28.8824  -50.5221  -50.6934  -27.5829  -34.7745  -34.9596  -299.6527  -27.9065  -299.6527  -40.4052  -40.5950  -31.1246  -31.4040
3.50  -23.1349  -24.1440  -28.5533  -28.8544  -45.4561  -45.6545  -27.5339  -32.1231  -32.3081  -299.6527  -27.8663  -32.6480  -36.7526  -36.9660  -29.3949  -29.6790
3.60  -23.2129  -24.2317  -28.5239  -28.8249  -41.4191  -41.6391  -27.4987  -30.0207  -30.2057  -30.7412  -27.8341  -30.5140  -33.8575  -34.0896  -28.0454  -28.3331
3.70  -23.2927  -24.3218  -28.4954  -28.7964  -38.2039  -38.4411  -27.4747  -28.3571  -28.5421  -29.0511  -27.8058  -28.8014  -31.5593  -31.8063  -26.9982  -27.2889
3.80  -23.3777  -24.4214  -28.4300  -28.7301  -35.6447  -35.8955  -27.4599  -27.0444  -27.2295  -27.7693  -27.7751  -27.4044  -29.7279  -29.9867  -26.1917  -26.4848
3.90  -23.4640  -24.5223  -27.9417  -28.2373  -33.6075  -33.8691  -27.4525  -26.0168  -26.2018  -26.8469  -27.7420  -26.2802  -28.2654  -28.5336  -25.5772  -25.8721
