# Mon Aug 25 13:12:54 2014
#
# Cooling Map File
#
# Loop values:
# hden -5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -22.7289  -23.6986  -25.8307  -26.1317  -295.6527  -295.6527  -25.9803  -295.6527  -295.6527  -295.6527  -27.7828  -295.6527  -295.6527  -295.6527  -47.2473  -47.4923
3.10  -22.8005  -23.7768  -25.8519  -26.1530  -295.6527  -295.6527  -25.8192  -295.6527  -295.6527  -295.6527  -27.7963  -295.6527  -295.6527  -295.6527  -42.9100  -43.1667
3.20  -22.8733  -23.8569  -25.8701  -26.1711  -295.6527  -295.6527  -25.7248  -295.6527  -295.6527  -295.6527  -27.8455  -295.6527  -295.6527  -295.6527  -39.5305  -39.7965
3.30  -22.9476  -23.9391  -25.8856  -26.1866  -295.6527  -295.6527  -25.6795  -295.6527  -295.6527  -295.6527  -27.9179  -295.6527  -44.9742  -45.1343  -36.9095  -37.1830
3.40  -23.0233  -24.0233  -25.9000  -26.2010  -45.5612  -45.7324  -25.6724  -34.9548  -35.1398  -295.6527  -28.0073  -295.6527  -40.5060  -40.6958  -34.8873  -35.1667
3.50  -23.1006  -24.1098  -25.9152  -26.2162  -40.5532  -40.7516  -25.6959  -32.3783  -32.5633  -295.6527  -28.1129  -34.4280  -36.9993  -37.2126  -33.3369  -33.6210
3.60  -23.1797  -24.1985  -25.9329  -26.2339  -36.5773  -36.7973  -25.7447  -30.3661  -30.5512  -295.6527  -28.2355  -32.5019  -34.2589  -34.4910  -32.1586  -32.4463
3.70  -23.2605  -24.2896  -25.9545  -26.2555  -33.4307  -33.6678  -25.8146  -28.8054  -28.9904  -295.6527  -28.3754  -31.0314  -32.1289  -32.3759  -31.2749  -31.5657
3.80  -23.3463  -24.3900  -25.9763  -26.2772  -30.9508  -31.2016  -25.9025  -27.6066  -27.7916  -32.5527  -28.5317  -29.9294  -30.4846  -30.7434  -30.6276  -30.9207
3.90  -23.4336  -24.4917  -25.9248  -26.2244  -29.0032  -29.2648  -26.0056  -26.7030  -26.8879  -31.7349  -28.7034  -29.1235  -29.2267  -29.4950  -30.1723  -30.4672
4.00  -23.5222  -24.5947  -25.5332  -25.8301  -27.4744  -27.7446  -26.1225  -26.0337  -26.2187  -31.1231  -28.8902  -28.5448  -28.2779  -28.5536  -29.8738  -30.1702
4.10  -23.6126  -24.6994  -24.9202  -25.2170  -26.2720  -26.5490  -26.2537  -25.5308  -25.7157  -30.6318  -29.0945  -28.1110  -27.5795  -27.8611  -29.7027  -30.0003
4.20  -23.7033  -24.8052  -24.3886  -24.6862  -25.3279  -25.6104  -26.4010  -25.1223  -25.3072  -30.1543  -28.3609  -27.7376  -27.0884  -27.3747  -29.6352  -29.9337
4.30  -23.7903  -24.9106  -23.9912  -24.2896  -24.5993  -24.8860  -25.1726  -24.7630  -24.9478  -29.6570  -27.7912  -27.4151  -26.7705  -27.0606  -29.6530  -29.9523
4.40  -23.8615  -25.0063  -23.7103  -24.0094  -24.0584  -24.3486  -24.5461  -24.4640  -24.6488  -29.2217  -27.3333  -27.1921  -26.5911  -26.8841  -29.7460  -30.0458
4.50  -23.9041  -25.0881  -23.5194  -23.8191  -23.6753  -23.9682  -24.0564  -24.2491  -24.4338  -28.9315  -27.0253  -27.0845  -26.5113  -26.8067  -29.9162  -30.2165
4.60  -23.9115  -25.1465  -23.3958  -23.6959  -23.4116  -23.7067  -23.7049  -24.1217  -24.3064  -28.8201  -26.8500  -27.0753  -26.4964  -26.7937  -30.1733  -30.4740
4.70  -23.8952  -25.1819  -23.3226  -23.6231  -23.2305  -23.5273  -23.4731  -24.0729  -24.2575  -28.8921  -26.7914  -27.1468  -26.5188  -26.8175  -30.4835  -30.7845
4.80  -23.8788  -25.2082  -23.2883  -23.5890  -23.1023  -23.4005  -23.3438  -24.0936  -24.2781  -29.1349  -26.8338  -27.2997  -26.5482  -26.8481  -30.7349  -31.0362
4.90  -23.8822  -25.2437  -23.2831  -23.5840  -23.0034  -23.3026  -23.3159  -24.1893  -24.3738  -29.5196  -26.9797  -27.5399  -26.5404  -26.8413  -30.7704  -31.0718
5.00  -23.9102  -25.2974  -23.3032  -23.6042  -22.9155  -23.2156  -23.4260  -24.4018  -24.5863  -30.0071  -27.2175  -27.8593  -26.4919  -26.7935  -30.5435  -30.8451
5.10  -23.9640  -25.3717  -23.3801  -23.6814  -22.8271  -23.1279  -23.7390  -24.8006  -24.9851  -30.5529  -27.5207  -28.2338  -26.4500  -26.7522  -30.1921  -30.4937
5.20  -24.0405  -25.4647  -23.5766  -23.8779  -22.7370  -23.0383  -24.2709  -25.4048  -25.5893  -31.1404  -27.8758  -28.6521  -26.4588  -26.7614  -29.9025  -30.2043
5.30  -24.1321  -25.5708  -23.9027  -24.2041  -22.6542  -22.9560  -24.9577  -26.1532  -26.3376  -31.7183  -28.2342  -29.0671  -26.4916  -26.7946  -29.7978  -30.0996
5.40  -24.2345  -25.6856  -24.2951  -24.5966  -22.6180  -22.9201  -25.6972  -26.9457  -27.1300  -32.2392  -28.5484  -29.4329  -26.5061  -26.8095  -29.9486  -30.2505
5.50  -24.3589  -25.8083  -24.6929  -24.9944  -22.7332  -23.0355  -26.4175  -27.7121  -27.8964  -32.7367  -28.8511  -29.7832  -26.5348  -26.8383  -30.3809  -30.6828
5.60  -24.5109  -25.9381  -25.0609  -25.3625  -23.0454  -23.3480  -27.0824  -28.4178  -28.6020  -33.2913  -29.2217  -30.1984  -26.6546  -26.9583  -31.0865  -31.3885
5.70  -24.6632  -26.0683  -25.3622  -25.6639  -23.4459  -23.7487  -27.6572  -29.0290  -29.2132  -33.9908  -29.7467  -30.7657  -26.9496  -27.2535  -32.0547  -32.3567
5.80  -24.8146  -26.1982  -25.5586  -25.8602  -23.8437  -24.1465  -28.1054  -29.5102  -29.6944  -34.8956  -30.4848  -31.5449  -27.4764  -27.7804  -295.6527  -295.6527
5.90  -24.9646  -26.3272  -25.6773  -25.9790  -24.1985  -24.5015  -28.4561  -29.8911  -30.0752  -36.0227  -31.4514  -32.5519  -28.2476  -28.5517  -295.6527  -295.6527
6.00  -25.1129  -26.4552  -25.8414  -26.1431  -24.4773  -24.7804  -28.8331  -30.2962  -30.4803  -37.3556  -32.6508  -33.7919  -29.2659  -29.5701  -295.6527  -295.6527
