# Mon Aug 25 13:51:03 2014
#
# Cooling Map File
#
# Loop values:
# hden -1
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
5.90  -24.8793  -26.2583  -25.0671  -25.3687  -23.9618  -24.2648  -27.8407  -29.2758  -29.4599  -35.5560  -30.9953  -32.0956  -27.7956  -28.0997  -303.6527  -303.6527
6.00  -25.0326  -26.3900  -25.3778  -25.6795  -24.2187  -24.5218  -28.3653  -29.8284  -30.0125  -37.0276  -32.3084  -33.4494  -28.9272  -29.2313  -303.6527  -303.6527
6.10  -25.1823  -26.5192  -25.8745  -26.1762  -24.3862  -24.6894  -29.0577  -30.5471  -30.7312  -38.7028  -33.8284  -35.0111  -30.2785  -30.5827  -303.6527  -303.6527
6.20  -25.3290  -26.6464  -26.5158  -26.8175  -24.5208  -24.8240  -29.8786  -31.3929  -31.5770  -303.6527  -35.6146  -36.8416  -31.9085  -32.2128  -303.6527  -303.6527
6.30  -25.4731  -26.7722  -27.2004  -27.5021  -24.7245  -25.0278  -30.7289  -32.2671  -32.4511  -303.6527  -37.7392  -303.6527  -33.9673  -34.2716  -303.6527  -303.6527
6.40  -25.6152  -26.8971  -27.8661  -28.1679  -25.0881  -25.3914  -31.5494  -33.1106  -33.2946  -303.6527  -41.0915  -303.6527  -36.2547  -36.5591  -303.6527  -303.6527
6.50  -25.7559  -27.0217  -28.4895  -28.7912  -25.6215  -25.9248  -32.3191  -33.9027  -34.0867  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
6.60  -25.8956  -27.1463  -29.0799  -29.3817  -26.2461  -26.5494  -33.0569  -34.6553  -34.8392  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
6.70  -26.0348  -27.2715  -29.6414  -29.9432  -26.8797  -27.1831  -33.7644  -35.3742  -35.5581  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
6.80  -26.1737  -27.3975  -30.1725  -30.4742  -27.4827  -27.7860  -34.4384  -36.0591  -36.2430  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
6.90  -26.3127  -27.5245  -30.6821  -30.9838  -28.0546  -28.3579  -35.0889  -36.7203  -36.9042  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.00  -26.4521  -27.6529  -31.1732  -31.4749  -28.5958  -28.8992  -35.7193  -37.3613  -37.5451  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.10  -26.5920  -27.7827  -31.6486  -31.9503  -29.1052  -29.4086  -36.3388  -37.9911  -38.1749  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.20  -26.7325  -27.9141  -32.1082  -32.4099  -29.5900  -29.8934  -36.9321  -38.5947  -38.7785  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.30  -26.8739  -28.0470  -32.5569  -32.8587  -30.0530  -30.3564  -40.3394  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.40  -27.0161  -28.1815  -32.9969  -33.2986  -30.4967  -30.8001  -38.7566  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.50  -27.1593  -28.3175  -33.4289  -33.7306  -30.9216  -31.2250  -41.4420  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.60  -27.3033  -28.4550  -33.8558  -34.1576  -31.3322  -31.6356  -41.9835  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.70  -27.4482  -28.5938  -34.2791  -34.5808  -31.7306  -32.0340  -42.5208  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.80  -27.5896  -28.7297  -34.6953  -34.9971  -32.1138  -32.4172  -43.0507  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
7.90  -27.7405  -28.8754  -35.1186  -35.4203  -32.4975  -32.8009  -43.5871  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
8.00  -27.8878  -29.0179  -35.5378  -35.8395  -32.8704  -33.1738  -44.1191  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527  -303.6527
