    redshift              x              y              z
------------ -------------- -------------- --------------
2.0031238274 0.497841835022 0.497172355652 0.479462623596
2.0131238274 0.497838045192 0.497206538724 0.479517712902
2.0231238274 0.497836207476 0.497242360551 0.479574212164
2.0331238274 0.497834205627 0.497276009366 0.479628386175
2.0431238274 0.497830757037 0.497309395464 0.479680214974
2.0531238274  0.49783039093  0.49734061445 0.479730270582
2.0631238274  0.49783039093 0.497373483991 0.479779574894
2.0731238274 0.497832298279 0.497408817439 0.479824683788
2.0831238274 0.497834205627 0.497444669149 0.479868933975
2.0931238274 0.497836112976 0.497482252372 0.479909849418
2.1031238274 0.497837722786 0.497526649533  0.47995072942
2.1131238274 0.497841085932 0.497573037362 0.479990688496
2.1231238274 0.497844409167 0.497625343197 0.480029959018
2.1331238274 0.497847557068 0.497689242818 0.480074470401
2.1431238274 0.497844177424 0.497756505738 0.480132604371
2.1531238274 0.497836295479  0.49781785182 0.480194812876
2.1631238274 0.497826361673 0.497874712758 0.480260991813
2.1731238274 0.497817983746 0.497931536918 0.480329579478
2.1831238274 0.497806791909 0.497986983339 0.480394310388
2.1931238274  0.49780564565 0.498039646507 0.480469000145
2.2031238274 0.497791827491 0.498098027814 0.480515688275
2.2131238274 0.497784837405 0.498170665742 0.480530614218
2.2231238274 0.497785912815 0.498228826648 0.480550421414
2.2331238274 0.497779594287 0.498294776379 0.480585899017
2.2431238274 0.497781392258 0.498348525658 0.480604663206
2.2531238274 0.497774404105 0.498416848263 0.480634860023
2.2631238274 0.497769355774  0.49847403168 0.480680376284
2.2731238274 0.497773354085 0.498516965231 0.480714945984
2.2831238274  0.49777507782  0.49856919545 0.480739868756
2.2931238274  0.49777327676 0.498628081958 0.480766612326
2.3031238274 0.497771263123 0.498692748396  0.48079916501
2.3131238274 0.497767979037 0.498760847278 0.480838768499
2.3231238274 0.497763633728 0.498822250001 0.480891265503
2.3331238274  0.49776445519 0.498873209972 0.480944132823
2.3431238274 0.497770805113  0.49892017094 0.480991551801
2.3531238274 0.497777123341 0.498964737739 0.481035660591
2.3631238274 0.497784111176 0.499006615449  0.48107683632
2.3731238274 0.497791571672 0.499052000592 0.481115966335
2.3831238274 0.497801441299 0.499095173413 0.481151176877
2.3931238274 0.497804291366  0.49913582497 0.481191187375
2.4031238274 0.497812059972 0.499178682304 0.481227139263
2.4131238274 0.497820500518 0.499222094428 0.481260946022
2.4231238274 0.497831554247 0.499268254322 0.481292981522
2.4331238274 0.497845571251 0.499315999727 0.481322170811
2.4431238274 0.497863421405 0.499366836266 0.481349809011
2.4531238274 0.497874141788 0.499420168813 0.481378794416
2.4631238274 0.497892103381 0.499472189878 0.481389538756
2.4731238274 0.497900153945 0.499532964087 0.481413901103
2.4831238274 0.497904177561 0.499590103589 0.481445281144
2.4931238274 0.497903288987 0.499642649661 0.481477247978
2.5031238274 0.497899320677 0.499692595541 0.481512543961
2.5131238274  0.49789537961 0.499741795697 0.481548013566
2.5231238274 0.497889597782 0.499786895884 0.481585107403
2.5331238274 0.497881823612 0.499831561166 0.481622038038
2.5431238274 0.497875282321 0.499871903011  0.48165656628
2.5531238274 0.497868537903 0.499916203052 0.481695203375
2.5631238274 0.497866722294 0.499956186442 0.481733194125
2.5731238274 0.497870504794 0.499999760836 0.481769203518
2.5831238274  0.49787426179 0.500044844783 0.481806771634
2.5931238274 0.497879819191 0.500093274135 0.481840354727
2.6031238274 0.497892574419 0.500146880558 0.481871804482
2.6131238274 0.497905715984 0.500209086336 0.481908429603
2.6231238274 0.497916686615 0.500271253243 0.481946424935
2.6331238274 0.497925676808 0.500333005979 0.481986382589
2.6431238274 0.497934594657 0.500396256119 0.482027113066
2.6531238274 0.497939917722 0.500457193201 0.482070127477
2.6631238274 0.497943478642 0.500517728825 0.482113412647
2.6731238274 0.497949200544 0.500578144253 0.482155586161
2.6831238274 0.497954345252 0.500639518693 0.482201272818
2.6931238274 0.497954350276 0.500695201103 0.482268539299
2.7031238274 0.497948139686  0.50071969372 0.482345442075
2.7131238274 0.497961194251 0.500783085349 0.482372858573
2.7231238274 0.497975801118 0.500876024377 0.482411433955
2.7331238274 0.497979202259 0.500928459005 0.482469291478
2.7431238274 0.497985597821 0.500894276679 0.482490867055
2.7531238274 0.497998624269 0.500921649024  0.48251239037
2.7631238274 0.498014443084 0.500968912138 0.482539928698
2.7731238274 0.498029035939 0.501020530661 0.482570326209
2.7831238274 0.498043657005 0.501069905341 0.482599951017
2.7931238274 0.498057193094 0.501119878027 0.482631295621
2.8031238274 0.498070195052 0.501171539472 0.482662457375
2.8131238274  0.49808311318 0.501223319591 0.482693191732
2.8231238274 0.498094039172 0.501272984387 0.482727182434
2.8331238274 0.498106357789  0.50132166016 0.482761413088
2.8431238274 0.498117560832  0.50136918831 0.482796267066
2.8531238274  0.49813015156 0.501415373141 0.482830891567
2.8631238274 0.498140759217 0.501461427462 0.482865307832
2.8731238274  0.49815319397 0.501508057786 0.482897957612
2.8831238274 0.498165549415 0.501554390705 0.482931573528
2.8931238274 0.498175924598 0.501600450197 0.482965350489
2.9031238274 0.498188124501 0.501646199833 0.482998900223
2.9131238274 0.498198344707 0.501693149804  0.48303268671
2.9231238274 0.498208855121 0.501736872038 0.483067300522
2.9331238274 0.498218557144 0.501779872569 0.483102860763
2.9431238274 0.498230462392 0.501822727838 0.483136787096
2.9531238274 0.498242288576 0.501865050741 0.483169309101
2.9631238274 0.498252140876 0.501907185603  0.48320361196
2.9731238274 0.498262752295 0.501946998835 0.483238654137
2.9831238274 0.498273529324 0.501986813542 0.483271592001
2.9931238274 0.498285068073 0.502028334877 0.483306208246
3.0031238274 0.498294634294 0.502069264004 0.483340628956
