        redshift                  x0                  y0                 z0    name
---------------- ------------------- ------------------- ------------------ -------
             0.0                 0.0                 0.0                0.0        
             0.0                 0.0                 0.0                0.0        
0.44970020751806 0.49123287200927734  0.4774351119995117 0.5069074630737305  DD1547
 0.4490030033315  0.4912309646606445  0.4774274826049804 0.5069112777709961  DD1548
0.44830644957335  0.4912290573120117  0.4774198532104492 0.5069150924682617  DD1549
0.44761050550316  0.4912290573120117  0.4774103164672852 0.5069169998168945  DD1550
 0.4469151701719  0.4912252426147461 0.47740268707275385 0.5069208145141602  DD1551
0.44622044262865  0.4912233352661132  0.4773950576782226 0.5069246292114258  DD1552
0.44552632192459 0.49122333526611334  0.4773855209350586 0.5069265365600586  DD1553
0.44483280711301 0.49122142791748047  0.4773778915405274 0.5069303512573243  DD1554
0.44413989724925 0.49121952056884766  0.4773702621459961 0.5069341659545898  DD1555
0.44344759139075 0.49121761322021484   0.477360725402832 0.5069379806518555  DD1556
  0.442755888597  0.4912157058715821 0.47735309600830084 0.5069417953491211  DD1557
 0.4420647879296  0.4912137985229492 0.47734546661376953 0.5069456100463867  DD1558
0.44137428845215  0.4912118911743164  0.4773378372192382 0.5069494247436523  DD1559
0.44068438923035  0.4912099838256836  0.4773283004760742 0.5069513320922852  DD1560
0.43999508933194  0.4912080764770507  0.4773206710815429 0.5069551467895508  DD1561
0.43930638782668   0.491206169128418  0.4773130416870117 0.5069589614868164  DD1562
0.43861828378639 0.49120426177978516 0.47730350494384766  0.506962776184082  DD1563
0.43793077628493  0.4912023544311523 0.47729587554931635 0.5069646835327147  DD1564
0.43724386439815 0.49120044708251953 0.47728824615478516 0.5069684982299805  DD1565
0.43655754720396  0.4911985397338867  0.4772806167602539 0.5069723129272461  DD1566
0.43587182378226 0.49119663238525385  0.4772710800170898 0.5069761276245116  DD1567
0.43518669321496  0.4911947250366211  0.4772634506225586 0.5069780349731445  DD1568
  0.434502154586  0.4911928176879883  0.4772558212280274 0.5069818496704103  DD1569
0.43381820698128  0.4911928176879883  0.4772462844848633 0.5069856643676758  DD1570
0.43313484948873  0.4911909103393554 0.47723865509033203 0.5069894790649414  DD1571
0.43245208119824 0.49118900299072266 0.47723102569580084 0.5069932937622071  DD1572
 0.4317699012017 0.49118709564208984  0.4772214889526367 0.5069952011108398  DD1573
0.43108830859295 0.49118518829345703 0.47721385955810547 0.5069990158081055  DD1574
