# Thu Apr  6 21:03:31 2023
#
# Cooling Map File
#
# Loop values:
# hden -3.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -21.5335  -23.5361  -24.0292  -24.3211  -27.5688  -27.8565  -27.0900  -27.9774  -27.9674
3.100  -21.5602  -23.5926  -24.0663  -24.3583  -27.4025  -27.6901  -26.9337  -27.9806  -27.9707
3.200  -21.5607  -23.6421  -24.0778  -24.3700  -27.2416  -27.5293  -26.8267  -27.9788  -27.9689
3.300  -21.5469  -23.6883  -24.0619  -24.3542  -27.0868  -27.3744  -26.7496  -27.9710  -27.9611
3.400  -21.5348  -23.7370  -24.0222  -24.3145  -26.9409  -27.2285  -26.6924  -27.9581  -27.9483
3.500  -21.5251  -23.7888  -23.9643  -24.2565  -26.8101  -27.0977  -26.6497  -27.9421  -27.9325
3.600  -21.5180  -23.8446  -23.8934  -24.1856  -26.7006  -26.9882  -26.6184  -27.9232  -27.9146
3.700  -23.0349  -24.2506  -23.8636  -24.1299  -26.6188  -26.9060  -26.5945  -27.8195  -27.8376
3.800  -23.0528  -24.3242  -23.7837  -24.0476  -26.5599  -26.8471  -26.5798  -27.1239  -27.2521
3.900  -23.0591  -24.3936  -23.7017  -23.9630  -26.5209  -26.8081  -26.5707  -26.1729  -26.3322
4.000  -23.0525  -24.4577  -23.6216  -23.8804  -26.4885  -26.7757  -26.5697  -25.3772  -25.5415
4.100  -23.0273  -24.5126  -23.5539  -23.8121  -26.4472  -26.7343  -26.5923  -24.7420  -24.9091
4.200  -22.9619  -24.5409  -23.5169  -23.7801  -26.3791  -26.6656  -26.6722  -24.2392  -24.4091
4.300  -22.8258  -24.4932  -23.5182  -23.7920  -26.2501  -26.5353  -26.8295  -23.8492  -24.0208
4.400  -22.6489  -24.3631  -23.5394  -23.8236  -26.0422  -26.3274  -27.0405  -23.5670  -23.7393
4.500  -22.5215  -24.3097  -23.5534  -23.8442  -25.8336  -26.1213  -27.2609  -23.3725  -23.5458
4.600  -22.4657  -24.3986  -23.5195  -23.8138  -25.7102  -26.0007  -27.4325  -23.2131  -23.3879
4.700  -22.5912  -24.5453  -23.4008  -23.6968  -25.6685  -25.9619  -27.5065  -23.0464  -23.2219
4.800  -22.8277  -24.7019  -23.1937  -23.4902  -25.6294  -25.9256  -27.4883  -22.9245  -23.0995
4.900  -23.0639  -24.8564  -22.8054  -23.1015  -25.4783  -25.7766  -27.3155  -22.8955  -23.0702
5.000  -23.2727  -25.0034  -22.4118  -22.7067  -25.1376  -25.4371  -27.1182  -23.0793  -23.2538
5.100  -23.4588  -25.1479  -22.4567  -22.7536  -24.7095  -25.0102  -27.3535  -23.7267  -23.9008
5.200  -23.6297  -25.2919  -22.8832  -23.1833  -24.1169  -24.4183  -27.9607  -24.7064  -24.8800
5.300  -23.7879  -25.4337  -23.3673  -23.6681  -23.2430  -23.5456  -28.6125  -25.6799  -25.8529
5.400  -23.9374  -25.5733  -23.8074  -24.1084  -22.4849  -22.7872  -29.2116  -26.5528  -26.7254
5.500  -24.0937  -25.7144  -24.1914  -24.4921  -22.2872  -22.5898  -29.7485  -27.3355  -27.5076
5.600  -24.2661  -25.8593  -24.5164  -24.8170  -22.6152  -22.9180  -30.2220  -28.0381  -28.2095
5.700  -24.4323  -26.0013  -24.7680  -25.0688  -23.0441  -23.3468  -30.6183  -28.6390  -28.8088
5.800  -24.5928  -26.1407  -24.9514  -25.2523  -23.4379  -23.7408  -30.9433  -29.1388  -29.3056
5.900  -24.7482  -26.2780  -25.1592  -25.4607  -23.7717  -24.0743  -31.2907  -29.6579  -29.8204
6.000  -24.8989  -26.4134  -25.4907  -25.7920  -24.0246  -24.3268  -31.7596  -30.2813  -30.4385
6.100  -25.0454  -26.5474  -25.9953  -26.2962  -24.1907  -24.4924  -32.3994  -31.0470  -31.1983
6.200  -25.1882  -26.6802  -26.6408  -26.9413  -24.3300  -24.6314  -33.1783  -31.9567  -32.0994
6.300  -25.3277  -26.8122  -27.3200  -27.6205  -24.5444  -24.8470  -33.9897  -32.8846  -33.0160
6.400  -25.4645  -26.9438  -27.9754  -28.2758  -24.9186  -25.2211  -34.7757  -33.7546  -33.8734
6.500  -25.5989  -27.0753  -28.5945  -28.8947  -25.4625  -25.7649  -35.5239  -34.5966  -34.6971
6.600  -25.7313  -27.2070  -29.1781  -29.4787  -26.0883  -26.3910  -36.2358  -9999.  -9999.
6.700  -25.8620  -27.3390  -29.7308  -30.0317  -26.7170  -27.0198  -36.9158  -9999.  -9999.
6.800  -25.9913  -27.4715  -30.2567  -30.5578  -27.3188  -27.6217  -37.5685  -9999.  -9999.
6.900  -26.1194  -27.6048  -30.7593  -31.0606  -27.8881  -28.1907  -38.1976  -9999.  -9999.
7.000  -26.2464  -27.7387  -31.2422  -31.5433  -28.4260  -28.7285  -38.8064  -9999.  -9999.
7.100  -26.3726  -27.8736  -31.7080  -32.0088  -28.9355  -29.2380  -39.3981  -9999.  -9999.
7.200  -26.4979  -28.0093  -32.1591  -32.4597  -29.4200  -29.7224  -39.9753  -9999.  -9999.
7.300  -26.6226  -28.1459  -32.5980  -32.8983  -29.8817  -30.1840  -40.5404  -9999.  -9999.
7.400  -26.7466  -28.2835  -9999.  -9999.  -30.3237  -30.6260  -9999.  -9999.  -9999.
7.500  -26.8701  -28.4220  -9999.  -9999.  -30.7484  -31.0506  -9999.  -9999.  -9999.
7.600  -26.9929  -28.5614  -9999.  -9999.  -31.1583  -31.4605  -9999.  -9999.  -9999.
7.700  -27.1152  -28.7017  -9999.  -9999.  -31.5556  -31.8578  -9999.  -9999.  -9999.
7.800  -27.2370  -28.8428  -9999.  -9999.  -31.9425  -32.2446  -9999.  -9999.  -9999.
7.900  -27.3582  -28.9846  -9999.  -9999.  -32.3209  -32.6228  -9999.  -9999.  -9999.
8.000  -27.4789  -29.1272  -9999.  -9999.  -32.6926  -32.9945  -9999.  -9999.  -9999.
