# Thu Apr  6 20:38:27 2023
#
# Cooling Map File
#
# Loop values:
# hden -4
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -20.9402  -23.3795  -22.9724  -23.2634  -26.0172  -26.3048  -26.5146  -27.3956  -27.3784
3.100  -20.9439  -23.4423  -23.0039  -23.2954  -25.8766  -26.1642  -26.3542  -27.3947  -27.3770
3.200  -20.9520  -23.5082  -23.0154  -23.3072  -25.7381  -26.0257  -26.2480  -27.3941  -27.3758
3.300  -20.9648  -23.5769  -23.0053  -23.2973  -25.6020  -25.8896  -26.1773  -27.3934  -27.3745
3.400  -20.9828  -23.6477  -22.9766  -23.2687  -25.4699  -25.7576  -26.1316  -27.3931  -27.3736
3.500  -21.0061  -23.7206  -22.9339  -23.2261  -25.3458  -25.6334  -26.1046  -27.3943  -27.3742
3.600  -21.0350  -23.7951  -22.8816  -23.1738  -25.2353  -25.5229  -26.0924  -27.3977  -27.3771
3.700  -22.2540  -23.9883  -22.8728  -23.1397  -25.1480  -25.4343  -26.0913  -27.3741  -27.3628
3.800  -22.1896  -24.0291  -22.8128  -23.0790  -25.0833  -25.3696  -26.1002  -27.0020  -27.0760
3.900  -22.1208  -24.0792  -22.7526  -23.0180  -25.0410  -25.3273  -26.1170  -26.1904  -26.3254
4.000  -22.0485  -24.1382  -22.6966  -22.9615  -25.0092  -25.2955  -26.1443  -25.4382  -25.5836
4.100  -21.9735  -24.2034  -22.6557  -22.9217  -24.9738  -25.2601  -26.1938  -24.8331  -24.9814
4.200  -21.8956  -24.2716  -22.6472  -22.9169  -24.9277  -25.2139  -26.2871  -24.3452  -24.4956
4.300  -21.8238  -24.3323  -22.6773  -22.9534  -24.8682  -25.1540  -26.4343  -23.9459  -24.0973
4.400  -21.7801  -24.3698  -22.7275  -23.0103  -24.7870  -25.0728  -26.6164  -23.6347  -23.7859
4.500  -21.8056  -24.3934  -22.7712  -23.0589  -24.6869  -24.9742  -26.8032  -23.4054  -23.5568
4.600  -21.9521  -24.4528  -22.7890  -23.0801  -24.5995  -24.8893  -26.9700  -23.2414  -23.3935
4.700  -22.2075  -24.5642  -22.7664  -23.0596  -24.5479  -24.8405  -27.0958  -23.1248  -23.2768
4.800  -22.4986  -24.7042  -22.6943  -22.9886  -24.5157  -24.8112  -27.1804  -23.0559  -23.2065
4.900  -22.7762  -24.8537  -22.5448  -22.8397  -24.4521  -24.7497  -27.2255  -23.0738  -23.2233
5.000  -23.0234  -25.0006  -22.3725  -22.6679  -24.2867  -24.5856  -27.2378  -23.3058  -23.4542
5.100  -23.2418  -25.1451  -22.4517  -22.7485  -24.0074  -24.3075  -27.4950  -23.9100  -24.0573
5.200  -23.4378  -25.2889  -22.8256  -23.1241  -23.6073  -23.9082  -28.0397  -24.8065  -24.9524
5.300  -23.6159  -25.4306  -23.2860  -23.5851  -23.0257  -23.3278  -28.6629  -25.7443  -25.8891
5.400  -23.7806  -25.5703  -23.7217  -24.0209  -22.4472  -22.7490  -29.2551  -26.6077  -26.7515
5.500  -23.9445  -25.7114  -24.1078  -24.4068  -22.3063  -22.6084  -29.7934  -27.3908  -27.5336
5.600  -24.1157  -25.8562  -24.4373  -24.7362  -22.6264  -22.9287  -30.2717  -28.0980  -28.2396
5.700  -24.2791  -25.9981  -24.6930  -24.9921  -23.0479  -23.3502  -30.6735  -28.7045  -28.8442
5.800  -24.4356  -26.1375  -24.8744  -25.1735  -23.4396  -23.7420  -30.9986  -29.2046  -29.3411
5.900  -24.5857  -26.2746  -25.0677  -25.3672  -23.7735  -24.0757  -31.3343  -29.7123  -29.8444
