# Thu Apr  6 20:38:27 2023
#
# Cooling Map File
#
# Loop values:
# hden -4
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
6.000  -24.7301  -26.4099  -25.3814  -25.6808  -24.0272  -24.3289  -31.7888  -30.3216  -30.4485
6.100  -24.8694  -26.5437  -25.8705  -26.1696  -24.1932  -24.4944  -32.4172  -31.0761  -31.1975
6.200  -25.0042  -26.6764  -26.5031  -26.8018  -24.3303  -24.6311  -33.1878  -31.9777  -32.0909
6.300  -25.1349  -26.8082  -27.1728  -27.4714  -24.5408  -24.8428  -33.9948  -32.9013  -33.0040
6.400  -25.2621  -26.9396  -27.8203  -28.1187  -24.9107  -25.2126  -34.7787  -33.7692  -33.8600
6.500  -25.3863  -27.0708  -28.4319  -28.7302  -25.4502  -25.7520  -35.5258  -34.6101  -34.6836
6.600  -25.5081  -27.2021  -29.0080  -29.3065  -26.0724  -26.3744  -36.2372  -9999.  -9999.
6.700  -25.6277  -27.3338  -29.5529  -29.8515  -26.6985  -27.0005  -36.9170  -9999.  -9999.
6.800  -25.7456  -27.4659  -30.0706  -30.3693  -27.2982  -27.6003  -37.5694  -9999.  -9999.
6.900  -25.8621  -27.5987  -30.5648  -30.8634  -27.8655  -28.1673  -38.1984  -9999.  -9999.
7.000  -25.9775  -27.7322  -31.0387  -31.3372  -28.4015  -28.7031  -38.8072  -9999.  -9999.
7.100  -26.0919  -27.8666  -31.4953  -31.7935  -28.9090  -29.2105  -39.3988  -9999.  -9999.
7.200  -26.2056  -28.0017  -31.9369  -32.2349  -29.3912  -29.6927  -39.9759  -9999.  -9999.
7.300  -26.3188  -28.1377  -32.3661  -32.6639  -29.8507  -30.1520  -40.5410  -9999.  -9999.
7.400  -26.4316  -28.2746  -9999.  -9999.  -30.2901  -30.5913  -9999.  -9999.  -9999.
7.500  -26.5440  -28.4123  -9999.  -9999.  -30.7121  -31.0132  -9999.  -9999.  -9999.
7.600  -26.6562  -28.5509  -9999.  -9999.  -31.1191  -31.4200  -9999.  -9999.  -9999.
7.700  -26.7682  -28.6902  -9999.  -9999.  -31.5133  -31.8140  -9999.  -9999.  -9999.
7.800  -26.8802  -28.8303  -9999.  -9999.  -31.8967  -32.1973  -9999.  -9999.  -9999.
7.900  -26.9921  -28.9710  -9999.  -9999.  -32.2715  -32.5718  -9999.  -9999.  -9999.
8.000  -27.1039  -29.1124  -9999.  -9999.  -32.6392  -32.9393  -9999.  -9999.  -9999.
