     2   0.556127E+03   0.169319E-05   0.844555E-06   0.165116E-01
     3   0.532630E+03   0.570439E-05   0.168935E-05   0.375343E-01
     4   0.510827E+03   0.143850E-04   0.281612E-05   0.640610E-01
     5   0.495287E+03   0.303323E-04   0.422517E-05   0.956136E-01
     6   0.485075E+03   0.566128E-04   0.591688E-05   0.131751E+00
     7   0.478871E+03   0.967478E-04   0.789173E-05   0.172039E+00
     8   0.475504E+03   0.154632E-03   0.101502E-04   0.216022E+00
     9   0.474418E+03   0.234486E-03   0.126929E-04   0.263367E+00
    10   0.474907E+03   0.340806E-03   0.155205E-04   0.313443E+00
    11   0.476355E+03   0.464790E-03   0.186336E-04   0.364560E+00
    12   0.479903E+03   0.653683E-03   0.220329E-04   0.421295E+00
    13   0.483936E+03   0.898097E-03   0.257193E-04   0.482553E+00
    14   0.488408E+03   0.116906E-02   0.296934E-04   0.538534E+00
    15   0.492317E+03   0.144556E-02   0.339561E-04   0.590185E+00
    16   0.497506E+03   0.175717E-02   0.385082E-04   0.646076E+00
    17   0.503907E+03   0.215292E-02   0.433505E-04   0.704413E+00
    18   0.510459E+03   0.267210E-02   0.484838E-04   0.763093E+00
    19   0.518002E+03   0.331400E-02   0.539089E-04   0.824436E+00
    20   0.525009E+03   0.405176E-02   0.596264E-04   0.882542E+00
    21   0.532247E+03   0.487545E-02   0.656373E-04   0.941359E+00
    22   0.539764E+03   0.579586E-02   0.719422E-04   0.100163E+01
    23   0.547177E+03   0.680586E-02   0.785416E-04   0.106141E+01
    24   0.554810E+03   0.790323E-02   0.854363E-04   0.111799E+01
    25   0.562800E+03   0.909328E-02   0.926267E-04   0.116419E+01
    26   0.570662E+03   0.103891E-01   0.100113E-03   0.120428E+01
    27   0.578808E+03   0.118022E-01   0.107897E-03   0.123977E+01
    28   0.587070E+03   0.133275E-01   0.115977E-03   0.126659E+01
    29   0.595372E+03   0.149917E-01   0.124355E-03   0.129042E+01
    30   0.603910E+03   0.168237E-01   0.133030E-03   0.130525E+01
    31   0.612088E+03   0.188205E-01   0.142002E-03   0.132244E+01
    32   0.620718E+03   0.209967E-01   0.151272E-03   0.133707E+01
    33   0.629278E+03   0.233093E-01   0.160840E-03   0.134763E+01
    34   0.637751E+03   0.257807E-01   0.170705E-03   0.135518E+01
    35   0.646712E+03   0.284155E-01   0.180867E-03   0.135053E+01
    36   0.655261E+03   0.312399E-01   0.191326E-03   0.134390E+01
    37   0.663943E+03   0.342772E-01   0.202081E-03   0.132942E+01
    38   0.672883E+03   0.375133E-01   0.213132E-03   0.130911E+01
    39   0.681958E+03   0.409359E-01   0.224479E-03   0.128295E+01
    40   0.691054E+03   0.445357E-01   0.236120E-03   0.124938E+01
    41   0.700063E+03   0.483074E-01   0.248055E-03   0.120738E+01
    42   0.709017E+03   0.522608E-01   0.260284E-03   0.115784E+01
    43   0.717968E+03   0.564094E-01   0.272805E-03   0.110178E+01
    44   0.727006E+03   0.607644E-01   0.285618E-03   0.103860E+01
    45   0.736236E+03   0.653343E-01   0.298722E-03   0.967396E+00
    46   0.745650E+03   0.701234E-01   0.312116E-03   0.887770E+00
    47   0.755206E+03   0.751307E-01   0.325799E-03   0.799450E+00
    48   0.764837E+03   0.803471E-01   0.339770E-03   0.702180E+00
    49   0.774491E+03   0.857627E-01   0.354029E-03   0.595779E+00
    50   0.784185E+03   0.913788E-01   0.368574E-03   0.480205E+00
    51   0.793948E+03   0.971977E-01   0.383405E-03   0.355646E+00
    52   0.803745E+03   0.103222E+00   0.398520E-03   0.223004E+00
    53   0.813534E+03   0.109450E+00   0.413919E-03   0.831536E-01
    54   0.823325E+03   0.115883E+00   0.429602E-03  -0.638934E-01
    55   0.833141E+03   0.122521E+00   0.445566E-03  -0.218493E+00
    56   0.843119E+03   0.129361E+00   0.461813E-03  -0.381636E+00
    57   0.853365E+03   0.136399E+00   0.478340E-03  -0.554285E+00
    58   0.863835E+03   0.143638E+00   0.495149E-03  -0.736716E+00
    59   0.874443E+03   0.151079E+00   0.512237E-03  -0.928915E+00
    60   0.885170E+03   0.158717E+00   0.529605E-03  -0.113046E+01
    61   0.896015E+03   0.166548E+00   0.547252E-03  -0.134086E+01
