   0.509925E-01   0.646581E+07   0.643701E+07  -0.746984E+02  -0.746986E+02   0.000000E+00   0.646128E+07   0.646128E+07   0.646128E+07  -0.153765E+00   0.325677E+07   0.325662E+07   0.101444E+01
   0.546349E-01   0.614547E+07   0.612138E+07  -0.618514E+02  -0.618515E+02   0.000000E+00   0.614168E+07   0.614168E+07   0.614168E+07  -0.146159E+00   0.309567E+07   0.309555E+07   0.736684E+00
   0.582772E-01   0.584785E+07   0.582713E+07  -0.517316E+02  -0.517317E+02   0.000000E+00   0.584459E+07   0.584459E+07   0.584459E+07  -0.139089E+00   0.294593E+07   0.294583E+07   0.567394E+00
   0.619195E-01   0.555937E+07   0.554054E+07  -0.435650E+02  -0.435651E+02   0.000000E+00   0.555641E+07   0.555641E+07   0.555641E+07  -0.132231E+00   0.280067E+07   0.280058E+07   0.488466E+00
   0.655618E-01   0.527262E+07   0.525433E+07  -0.368542E+02  -0.368543E+02   0.000000E+00   0.526975E+07   0.526975E+07   0.526975E+07  -0.125409E+00   0.265618E+07   0.265609E+07   0.475397E+00
   0.692042E-01   0.498578E+07   0.496699E+07  -0.312762E+02  -0.312763E+02   0.000000E+00   0.498282E+07   0.498282E+07   0.498282E+07  -0.118581E+00   0.251156E+07   0.251146E+07   0.501676E+00
   0.728465E-01   0.470286E+07   0.468298E+07  -0.266234E+02  -0.266235E+02   0.000000E+00   0.469973E+07   0.469973E+07   0.469973E+07  -0.111844E+00   0.236887E+07   0.236876E+07   0.542547E+00
   0.764888E-01   0.443103E+07   0.440993E+07  -0.227508E+02  -0.227508E+02   0.000000E+00   0.442771E+07   0.442771E+07   0.442771E+07  -0.105370E+00   0.223177E+07   0.223164E+07   0.577973E+00
   0.810154E-01   0.412033E+07   0.409812E+07  -0.188558E+02  -0.188559E+02   0.000000E+00   0.411684E+07   0.411684E+07   0.411684E+07  -0.979722E-01   0.207508E+07   0.207493E+07   0.594622E+00
   0.855421E-01   0.384933E+07   0.382695E+07  -0.157997E+02  -0.157997E+02   0.000000E+00   0.384581E+07   0.384581E+07   0.384581E+07  -0.915223E-01   0.193847E+07   0.193832E+07   0.571288E+00
   0.900687E-01   0.362259E+07   0.360118E+07  -0.134118E+02  -0.134119E+02   0.000000E+00   0.361922E+07   0.361922E+07   0.361922E+07  -0.861300E-01   0.182426E+07   0.182412E+07   0.511247E+00
   0.945953E-01   0.343860E+07   0.341911E+07  -0.115418E+02  -0.115418E+02   0.000000E+00   0.343553E+07   0.343553E+07   0.343553E+07  -0.817585E-01   0.173167E+07   0.173154E+07   0.427509E+00
   0.991220E-01   0.328954E+07   0.327254E+07  -0.100567E+02  -0.100567E+02   0.000000E+00   0.328687E+07   0.328687E+07   0.328687E+07  -0.782206E-01   0.165673E+07   0.165663E+07   0.337209E+00
   0.103649E+00   0.316288E+07   0.314841E+07  -0.884405E+01  -0.884407E+01   0.000000E+00   0.316061E+07   0.316061E+07   0.316061E+07  -0.752159E-01   0.159309E+07   0.159301E+07   0.256389E+00
   0.108175E+00   0.304537E+07   0.303302E+07  -0.781827E+01  -0.781829E+01   0.000000E+00   0.304343E+07   0.304343E+07   0.304343E+07  -0.724273E-01   0.153402E+07   0.153396E+07   0.196211E+00
   0.112702E+00   0.292704E+07   0.291608E+07  -0.692327E+01  -0.692329E+01   0.000000E+00   0.292532E+07   0.292532E+07   0.292532E+07  -0.696164E-01   0.147449E+07   0.147443E+07   0.161190E+00
   0.117228E+00   0.280297E+07   0.279260E+07  -0.612774E+01  -0.612775E+01   0.000000E+00   0.280134E+07   0.280134E+07   0.280134E+07  -0.666660E-01   0.141200E+07   0.141194E+07   0.149432E+00
   0.121755E+00   0.267311E+07   0.266265E+07  -0.541724E+01  -0.541725E+01   0.000000E+00   0.267146E+07   0.267146E+07   0.267146E+07  -0.635753E-01   0.134654E+07   0.134648E+07   0.154377E+00
   0.126282E+00   0.254116E+07   0.253018E+07  -0.478699E+01  -0.478700E+01   0.000000E+00   0.253943E+07   0.253943E+07   0.253943E+07  -0.604331E-01   0.127999E+07   0.127992E+07   0.167286E+00
   0.130808E+00   0.241277E+07   0.240117E+07  -0.423573E+01  -0.423574E+01   0.000000E+00   0.241095E+07   0.241095E+07   0.241095E+07  -0.573755E-01   0.121523E+07   0.121516E+07   0.179730E+00
   0.135335E+00   0.229363E+07   0.228160E+07  -0.376148E+01  -0.376149E+01   0.000000E+00   0.229173E+07   0.229173E+07   0.229173E+07  -0.545385E-01   0.115514E+07   0.115506E+07   0.185502E+00
   0.139862E+00   0.218801E+07   0.217594E+07  -0.335963E+01  -0.335964E+01   0.000000E+00   0.218611E+07   0.218611E+07   0.218611E+07  -0.520248E-01   0.110190E+07   0.110182E+07   0.181600E+00
   0.144388E+00   0.209808E+07   0.208643E+07  -0.302271E+01  -0.302271E+01   0.000000E+00   0.209625E+07   0.209625E+07   0.209625E+07  -0.498864E-01   0.105661E+07   0.105653E+07   0.168251E+00
   0.148915E+00   0.202338E+07   0.201252E+07  -0.274062E+01  -0.274063E+01   0.000000E+00   0.202167E+07   0.202167E+07   0.202167E+07  -0.481115E-01   0.101901E+07   0.101895E+07   0.148178E+00
   0.153442E+00   0.196067E+07   0.195083E+07  -0.250142E+01  -0.250143E+01   0.000000E+00   0.195912E+07   0.195912E+07   0.195912E+07  -0.466230E-01   0.987485E+06   0.987428E+06   0.125427E+00
   0.157968E+00   0.190499E+07   0.189620E+07  -0.229323E+01  -0.229323E+01   0.000000E+00   0.190361E+07   0.190361E+07   0.190361E+07  -0.453020E-01   0.959505E+06   0.959456E+06   0.104108E+00
   0.162495E+00   0.185151E+07   0.184361E+07  -0.210650E+01  -0.210650E+01   0.000000E+00   0.185027E+07   0.185027E+07   0.185027E+07  -0.440325E-01   0.932617E+06   0.932574E+06   0.873571E-01
   0.167021E+00   0.179685E+07   0.178957E+07  -0.193506E+01  -0.193507E+01   0.000000E+00   0.179571E+07   0.179571E+07   0.179571E+07  -0.427341E-01   0.905115E+06   0.905077E+06   0.767511E-01
   0.171548E+00   0.173938E+07   0.173239E+07  -0.177563E+01  -0.177563E+01   0.000000E+00   0.173828E+07   0.173828E+07   0.173828E+07  -0.413674E-01   0.876169E+06   0.876132E+06   0.722172E-01
   0.176075E+00   0.167895E+07   0.167199E+07  -0.162692E+01  -0.162692E+01   0.000000E+00   0.167786E+07   0.167786E+07   0.167786E+07  -0.399295E-01   0.845713E+06   0.845675E+06   0.723607E-01
   0.180601E+00   0.161686E+07   0.160975E+07  -0.148915E+01  -0.148915E+01   0.000000E+00   0.161575E+07   0.161575E+07   0.161575E+07  -0.384514E-01   0.814407E+06   0.814367E+06   0.750360E-01
   0.185128E+00   0.155556E+07   0.154825E+07  -0.136343E+01  -0.136343E+01   0.000000E+00   0.155441E+07   0.155441E+07   0.155441E+07  -0.369917E-01   0.783493E+06   0.783449E+06   0.779858E-01
   0.189655E+00   0.149776E+07   0.149030E+07  -0.125080E+01  -0.125080E+01   0.000000E+00   0.149659E+07   0.149659E+07   0.149659E+07  -0.356156E-01   0.754347E+06   0.754301E+06   0.793954E-01
   0.194181E+00   0.144543E+07   0.143797E+07  -0.115144E+01  -0.115145E+01   0.000000E+00   0.144425E+07   0.144425E+07   0.144425E+07  -0.343702E-01   0.727969E+06   0.727923E+06   0.782391E-01
   0.198708E+00   0.139934E+07   0.139205E+07  -0.106451E+01  -0.106452E+01   0.000000E+00   0.139819E+07   0.139819E+07   0.139819E+07  -0.332741E-01   0.704754E+06   0.704709E+06   0.743717E-01
   0.203234E+00   0.135923E+07   0.135227E+07  -0.988464E+00  -0.988466E+00   0.000000E+00   0.135813E+07   0.135813E+07   0.135813E+07  -0.323208E-01   0.684561E+06   0.684520E+06   0.683879E-01
   0.207761E+00   0.132402E+07   0.131750E+07  -0.921386E+00  -0.921388E+00   0.000000E+00   0.132300E+07   0.132300E+07   0.132300E+07  -0.314846E-01   0.666851E+06   0.666812E+06   0.613357E-01
   0.212288E+00   0.129209E+07   0.128603E+07  -0.861256E+00  -0.861258E+00   0.000000E+00   0.129114E+07   0.129114E+07   0.129114E+07  -0.307264E-01   0.650792E+06   0.650758E+06   0.543799E-01
   0.216814E+00   0.126160E+07   0.125595E+07  -0.806209E+00  -0.806210E+00   0.000000E+00   0.126071E+07   0.126071E+07   0.126071E+07  -0.300024E-01   0.635456E+06   0.635424E+06   0.484996E-01
   0.221341E+00   0.123102E+07   0.122569E+07  -0.754834E+00  -0.754836E+00   0.000000E+00   0.123018E+07   0.123018E+07   0.123018E+07  -0.292757E-01   0.620066E+06   0.620036E+06   0.442840E-01
   0.225868E+00   0.119948E+07   0.119434E+07  -0.706312E+00  -0.706314E+00   0.000000E+00   0.119867E+07   0.119867E+07   0.119867E+07  -0.285258E-01   0.604181E+06   0.604153E+06   0.418591E-01
   0.230394E+00   0.116681E+07   0.116175E+07  -0.660338E+00  -0.660340E+00   0.000000E+00   0.116601E+07   0.116601E+07   0.116601E+07  -0.277487E-01   0.587722E+06   0.587694E+06   0.409393E-01
   0.234921E+00   0.113346E+07   0.112840E+07  -0.616971E+00  -0.616972E+00   0.000000E+00   0.113266E+07   0.113266E+07   0.113266E+07  -0.269550E-01   0.570912E+06   0.570883E+06   0.409677E-01
   0.239447E+00   0.110030E+07   0.109520E+07  -0.576478E+00  -0.576480E+00   0.000000E+00   0.109950E+07   0.109950E+07   0.109950E+07  -0.261658E-01   0.554196E+06   0.554167E+06   0.412938E-01
   0.243974E+00   0.106839E+07   0.106327E+07  -0.539170E+00  -0.539172E+00   0.000000E+00   0.106759E+07   0.106759E+07   0.106759E+07  -0.254063E-01   0.538112E+06   0.538081E+06   0.413412E-01
   0.248501E+00   0.103862E+07   0.103352E+07  -0.505217E+00  -0.505218E+00   0.000000E+00   0.103782E+07   0.103782E+07   0.103782E+07  -0.246979E-01   0.523108E+06   0.523078E+06   0.407297E-01
   0.253027E+00   0.101144E+07   0.100643E+07  -0.474547E+00  -0.474548E+00   0.000000E+00   0.101065E+07   0.101065E+07   0.101065E+07  -0.240514E-01   0.509415E+06   0.509385E+06   0.393287E-01
   0.257554E+00   0.986840E+06   0.981975E+06  -0.446874E+00  -0.446874E+00   0.000000E+00   0.986075E+06   0.986075E+06   0.986075E+06  -0.234665E-01   0.497026E+06   0.496998E+06   0.372409E-01
   0.262081E+00   0.964464E+06   0.959793E+06  -0.421789E+00  -0.421790E+00   0.000000E+00   0.963729E+06   0.963729E+06   0.963729E+06  -0.229347E-01   0.485763E+06   0.485736E+06   0.347336E-01
   0.266607E+00   0.943750E+06   0.939292E+06  -0.398841E+00  -0.398842E+00   0.000000E+00   0.943049E+06   0.943049E+06   0.943049E+06  -0.224426E-01   0.475339E+06   0.475313E+06   0.321452E-01
   0.271134E+00   0.924024E+06   0.919769E+06  -0.377580E+00  -0.377581E+00   0.000000E+00   0.923354E+06   0.923354E+06   0.923354E+06  -0.219739E-01   0.465412E+06   0.465388E+06   0.297911E-01
   0.275661E+00   0.904633E+06   0.900550E+06  -0.357621E+00  -0.357621E+00   0.000000E+00   0.903991E+06   0.903991E+06   0.903991E+06  -0.215131E-01   0.455652E+06   0.455628E+06   0.278935E-01
   0.280187E+00   0.885122E+06   0.881165E+06  -0.338695E+00  -0.338696E+00   0.000000E+00   0.884500E+06   0.884500E+06   0.884500E+06  -0.210492E-01   0.445827E+06   0.445805E+06   0.265438E-01
   0.284714E+00   0.865335E+06   0.861458E+06  -0.320678E+00  -0.320678E+00   0.000000E+00   0.864725E+06   0.864725E+06   0.864725E+06  -0.205787E-01   0.435860E+06   0.435838E+06   0.257025E-01
   0.289240E+00   0.845392E+06   0.841561E+06  -0.303556E+00  -0.303557E+00   0.000000E+00   0.844790E+06   0.844790E+06   0.844790E+06  -0.201042E-01   0.425812E+06   0.425790E+06   0.252310E-01
