#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.506519E+00   0.502322E+04   0.363363E+04   0.118722E+00   0.118530E+00   0.000000E+00   0.480470E+04   0.480470E+04   0.480471E+04  -0.114342E-01   0.477615E+04   0.459562E+04   0.646877E+00
   0.511045E+00   0.495528E+04   0.358460E+04   0.115051E+00   0.114865E+00   0.000000E+00   0.473974E+04   0.473974E+04   0.473974E+04  -0.112796E-01   0.471157E+04   0.453348E+04   0.632482E+00
   0.515572E+00   0.488865E+04   0.353608E+04   0.111518E+00   0.111338E+00   0.000000E+00   0.467596E+04   0.467596E+04   0.467596E+04  -0.111278E-01   0.464819E+04   0.447239E+04   0.618842E+00
   0.520099E+00   0.482334E+04   0.348822E+04   0.108118E+00   0.107943E+00   0.000000E+00   0.461339E+04   0.461339E+04   0.461339E+04  -0.109789E-01   0.458601E+04   0.441241E+04   0.605798E+00
   0.524625E+00   0.475935E+04   0.344120E+04   0.104847E+00   0.104677E+00   0.000000E+00   0.455207E+04   0.455207E+04   0.455207E+04  -0.108330E-01   0.452507E+04   0.435361E+04   0.593177E+00
   0.529152E+00   0.469668E+04   0.339523E+04   0.101700E+00   0.101536E+00   0.000000E+00   0.449203E+04   0.449203E+04   0.449203E+04  -0.106901E-01   0.446541E+04   0.429606E+04   0.580832E+00
   0.533678E+00   0.463535E+04   0.335046E+04   0.986747E-01   0.985150E-01   0.000000E+00   0.443330E+04   0.443330E+04   0.443330E+04  -0.105503E-01   0.440704E+04   0.423983E+04   0.568662E+00
   0.538205E+00   0.457534E+04   0.330692E+04   0.957652E-01   0.956102E-01   0.000000E+00   0.437588E+04   0.437588E+04   0.437588E+04  -0.104137E-01   0.434997E+04   0.418490E+04   0.556629E+00
   0.542732E+00   0.451662E+04   0.326460E+04   0.929664E-01   0.928160E-01   0.000000E+00   0.431974E+04   0.431974E+04   0.431974E+04  -0.102801E-01   0.429415E+04   0.413125E+04   0.544750E+00
   0.547258E+00   0.445914E+04   0.322337E+04   0.902729E-01   0.901268E-01   0.000000E+00   0.426482E+04   0.426482E+04   0.426482E+04  -0.101494E-01   0.423954E+04   0.407880E+04   0.533080E+00
   0.551785E+00   0.440286E+04   0.318311E+04   0.876791E-01   0.875372E-01   0.000000E+00   0.421105E+04   0.421105E+04   0.421105E+04  -0.100214E-01   0.418608E+04   0.402747E+04   0.521693E+00
   0.556312E+00   0.434770E+04   0.314366E+04   0.851794E-01   0.850416E-01   0.000000E+00   0.415837E+04   0.415837E+04   0.415837E+04  -0.989606E-02   0.413369E+04   0.397716E+04   0.510656E+00
   0.605612E+00   0.381047E+04   0.275499E+04   0.629935E-01   0.628915E-01   0.000000E+00   0.364450E+04   0.364450E+04   0.364450E+04  -0.867315E-02   0.362287E+04   0.348564E+04   0.411262E+00
   0.739697E+00   0.278126E+04   0.201115E+04   0.308215E-01   0.307716E-01   0.000000E+00   0.266016E+04   0.266016E+04   0.266016E+04  -0.633062E-02   0.264435E+04   0.254427E+04   0.245570E+00
   0.903467E+00   0.201900E+04   0.146000E+04   0.149981E-01   0.149739E-01   0.000000E+00   0.193110E+04   0.193110E+04   0.193110E+04  -0.459562E-02   0.191962E+04   0.184699E+04   0.145906E+00
   0.110350E+01   0.145850E+04   0.105472E+04   0.726262E-02   0.725087E-02   0.000000E+00   0.139501E+04   0.139501E+04   0.139501E+04  -0.331982E-02   0.138671E+04   0.133426E+04   0.862723E-01
   0.134782E+01   0.104896E+04   0.758576E+03   0.350132E-02   0.349565E-02   0.000000E+00   0.100330E+04   0.100330E+04   0.100330E+04  -0.238764E-02   0.997329E+03   0.959610E+03   0.507906E-01
   0.164622E+01   0.751404E+03   0.543402E+03   0.168124E-02   0.167852E-02   0.000000E+00   0.718695E+03   0.718695E+03   0.718695E+03  -0.171035E-02   0.714419E+03   0.687403E+03   0.297841E-01
   0.201070E+01   0.536307E+03   0.387853E+03   0.804368E-03   0.803067E-03   0.000000E+00   0.512962E+03   0.512962E+03   0.512962E+03  -0.122074E-02   0.509909E+03   0.490628E+03   0.174036E-01
