#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
      0.00061136      0.00171158      0.00169573      0.00171114      0.00169561      0.00171151      0.00169571
     0.000650399      0.00181626      0.00179945      0.00181572       0.0017993      0.00181617      0.00179942
     0.000691931      0.00192728      0.00190944      0.00192664      0.00190927      0.00192719      0.00190941
     0.000736115      0.00204501      0.00202606      0.00204423      0.00202588      0.00204488      0.00202603
      0.00078312      0.00216983      0.00214973      0.00216889      0.00214951      0.00216969       0.0021497
     0.000833127      0.00230216      0.00228083      0.00230105      0.00228056      0.00230199      0.00228079
     0.000886327      0.00244244       0.0024198      0.00244108      0.00241947      0.00244222      0.00241975
     0.000942925      0.00259108      0.00256707      0.00258947      0.00256667      0.00259083        0.002567
      0.00100314      0.00274858       0.0027231      0.00274664      0.00272263      0.00274827      0.00272303
      0.00106719      0.00291543       0.0028884       0.0029131      0.00288783      0.00291505       0.0028883
      0.00113534      0.00309212      0.00306346      0.00308932      0.00306276      0.00309168      0.00306334
      0.00120784      0.00327919      0.00324876      0.00327584      0.00324794      0.00327867      0.00324863
      0.00128496      0.00347717      0.00344491      0.00347314       0.0034439      0.00347655      0.00344474
      0.00136702      0.00368664      0.00365242      0.00368178      0.00365119      0.00368586      0.00365222
      0.00145431      0.00390816      0.00387182      0.00390233      0.00387038      0.00390723      0.00387159
      0.00154718      0.00414228      0.00410375      0.00413531      0.00410203      0.00414116      0.00410347
      0.00164597      0.00438965      0.00434877      0.00438126      0.00434668      0.00438829      0.00434843
      0.00175108      0.00465078      0.00460741      0.00464073      0.00460492       0.0046492        0.004607
      0.00186289       0.0049263       0.0048803      0.00491427      0.00487729      0.00492441      0.00487981
      0.00198185       0.0052168      0.00516794      0.00520233      0.00516436      0.00521449      0.00516737
       0.0021084      0.00552274      0.00547089      0.00550541      0.00546658         0.00552      0.00547019
      0.00224304      0.00584473       0.0057896      0.00582395      0.00578448      0.00584143      0.00578877
      0.00238627      0.00618313      0.00612458      0.00615827      0.00611845      0.00617919      0.00612359
      0.00253865      0.00653843      0.00647617      0.00650865      0.00646883      0.00653375      0.00647498
      0.00270075      0.00691093      0.00684457      0.00687528      0.00683587      0.00690533      0.00684317
      0.00287321      0.00730085      0.00723015      0.00725818      0.00721969      0.00729411      0.00722846
      0.00305668      0.00770835      0.00763277      0.00765723       0.0076203       0.0077003      0.00763075
      0.00325187      0.00813329      0.00805239      0.00807222      0.00803756      0.00812368      0.00804999
      0.00345952      0.00857559      0.00848879      0.00850258      0.00847109      0.00856409      0.00848593
      0.00368043      0.00903483      0.00894133      0.00894767      0.00892029      0.00902103      0.00893792
      0.00391545      0.00951036      0.00940938      0.00940629      0.00938429      0.00949388      0.00940532
      0.00416548       0.0100014      0.00989177      0.00987726      0.00986196      0.00998175      0.00988694
      0.00443147       0.0105067       0.0103872        0.010359       0.0103519       0.0104833       0.0103815
      0.00471444        0.011025        0.010894       0.0108491       0.0108521       0.0109972       0.0108872
      0.00501549       0.0115546         0.01141       0.0113455       0.0113605       0.0115214        0.011402
      0.00533576       0.0120933        0.011933        0.011845       0.0118744        0.012054       0.0119235
      0.00567648        0.012639       0.0124601       0.0123444        0.012391       0.0125923       0.0124489
      0.00603895       0.0131889        0.012988       0.0128401       0.0129068       0.0131336       0.0129748
      0.00642457       0.0137402       0.0135137       0.0133277       0.0134181       0.0136747       0.0134982
      0.00683482       0.0142897        0.014033       0.0138027       0.0139211       0.0142122       0.0140149
      0.00727127       0.0148341       0.0145426       0.0142601       0.0144117       0.0147427       0.0145214
      0.00773558       0.0153698       0.0150384       0.0146947       0.0148855       0.0152623       0.0150136
      0.00822954       0.0158931       0.0155164       0.0151008       0.0153385       0.0157667       0.0154876
      0.00875505       0.0164002       0.0159731       0.0154723       0.0157663       0.0162519       0.0159396
      0.00931411       0.0168872       0.0164045        0.015803       0.0161649       0.0167137       0.0163656
      0.00990887       0.0173497       0.0168073       0.0160865       0.0165304       0.0171471       0.0167624
       0.0105416       0.0177834       0.0171778       0.0163157       0.0168584       0.0175474       0.0171259
       0.0112148       0.0181835       0.0175121       0.0164836       0.0171449       0.0179096       0.0174524
       0.0119309        0.018545       0.0178061       0.0165825       0.0173851       0.0182278       0.0177377
       0.0126927       0.0188624       0.0180549       0.0166051       0.0175738       0.0184963       0.0179766
       0.0135032       0.0191297       0.0182527       0.0165437       0.0177051       0.0187089       0.0181636
       0.0143655       0.0193411       0.0183938        0.016392       0.0177727       0.0188595       0.0182926
       0.0152828       0.0194907       0.0184711       0.0161436       0.0177703       0.0189415       0.0183568
       0.0162587       0.0195726       0.0184723       0.0157943       0.0176854       0.0189492       0.0183439
       0.0172969       0.0195814       0.0184035       0.0153421       0.0175246       0.0188778       0.0182599
       0.0184015       0.0195129       0.0182563       0.0147869        0.017281       0.0187231       0.0180967
       0.0195765       0.0193628       0.0180274        0.014133       0.0169528       0.0184824       0.0178513
       0.0208266       0.0191288       0.0177156       0.0133867       0.0165401       0.0181542       0.0175227
       0.0221565       0.0188094       0.0173204       0.0125599        0.016046       0.0177391        0.017111
       0.0235713       0.0184052       0.0168446       0.0116681        0.015476       0.0172398       0.0166193
       0.0250765       0.0179184       0.0162927       0.0107313       0.0148382        0.016662       0.0160528
       0.0266778       0.0173548       0.0156727      0.00977328       0.0141448       0.0160141       0.0154203
       0.0283813       0.0167221       0.0149949      0.00882118       0.0134104        0.015308       0.0147326
       0.0301936       0.0160309       0.0142731      0.00790357       0.0126535       0.0145585       0.0140045
       0.0321216        0.015295       0.0135234      0.00704889       0.0118937       0.0137834       0.0132527
       0.0341728       0.0145307       0.0127649      0.00628368        0.011153       0.0130021       0.0124968
       0.0363549       0.0137526       0.0120134      0.00562832       0.0104498       0.0122325       0.0117531
       0.0386764       0.0129726       0.0112821      0.00509608      0.00979771       0.0114886       0.0110349
       0.0411461       0.0122195       0.0105993       0.0047054      0.00922369       0.0107991       0.0103703
       0.0437736       0.0115109      0.00998154      0.00446222       0.0087407         0.01018      0.00977525
       0.0465688       0.0108561      0.00943492       0.0043626      0.00835017      0.00963738      0.00925496
       0.0495424       0.0102552      0.00895529      0.00439107      0.00804078      0.00916641      0.00880403
        0.052706      0.00970223      0.00853079      0.00451881       0.0077908      0.00875371      0.00840882
       0.0560716      0.00919513      0.00815186      0.00470524      0.00757721      0.00838713      0.00805748
       0.0596521      0.00873434      0.00781162      0.00489649      0.00737788      0.00805506      0.00774062
       0.0634613      0.00826912      0.00745013      0.00498524       0.0071177      0.00769567      0.00739584
       0.0675136      0.00779009      0.00705087      0.00489672      0.00676785      0.00728877       0.0070047
       0.0718248      0.00727816      0.00659069       0.0045769      0.00630207      0.00681018      0.00654356
       0.0764112      0.00672631      0.00606438      0.00403615      0.00572552      0.00625612      0.00600891
       0.0812905      0.00614533      0.00549191      0.00336147      0.00508198      0.00565036      0.00542452
       0.0864814      0.00556124      0.00491323      0.00268807      0.00444219       0.0050389      0.00483543
       0.0920038      0.00500836      0.00437681      0.00214498      0.00388142      0.00447673      0.00429467
       0.0978788       0.0045216      0.00392685      0.00181072      0.00345726      0.00401251      0.00384887
        0.104129      0.00412184      0.00358589      0.00169949      0.00318878      0.00366918      0.00352008
        0.110778      0.00380409      0.00334179      0.00176573      0.00304465      0.00343086      0.00329279
        0.117852      0.00354044       0.0031519      0.00190116       0.0029503      0.00324798      0.00311884
        0.125378      0.00328341      0.00295164      0.00194129      0.00280619      0.00304818      0.00292786
        0.133384       0.0029893       0.0026872      0.00176022      0.00254243      0.00277371      0.00266352
        0.141901      0.00266521      0.00237208      0.00141111      0.00219316      0.00244092      0.00234266
        0.150962      0.00235076      0.00206483      0.00107798      0.00186064      0.00211721      0.00203108
        0.160602      0.00208832      0.00182403     0.000903019      0.00163275      0.00186861      0.00179237
        0.170857      0.00189709      0.00166957     0.000897542      0.00152366      0.00171469      0.00164551
        0.181768      0.00174049      0.00155075     0.000941379      0.00145017      0.00159813      0.00153425
        0.193375      0.00157512      0.00140846     0.000881186      0.00132146      0.00145225       0.0013942
        0.205723       0.0013896      0.00123188     0.000707907       0.0011335      0.00126683      0.00121569
        0.218859       0.0012194       0.0010718     0.000567026      0.00097165      0.00109999      0.00105527
        0.232835      0.00109208     0.000963693     0.000532146     0.000883234     0.000990442     0.000950441
        0.247703     0.000987137     0.000878198     0.000524917     0.000817416     0.000904528     0.000868218
         0.26352     0.000875839     0.000777672     0.000455149     0.000719359     0.000800341     0.000768086
        0.280347     0.000767603     0.000677343     0.000373213     0.000619331     0.000695978     0.000667783
        0.298249     0.000682212     0.000603563     0.000341956     0.000555714     0.000620752     0.000595689
        0.317294     0.000607967      0.00053972     0.000315821     0.000499788     0.000555535     0.000533156
        0.337555     0.000533802     0.000472256      0.00026716     0.000434161     0.000485626     0.000465985
         0.35911     0.000470579     0.000416392     0.000236215     0.000383336     0.000428258     0.000410953
        0.382041     0.000416178     0.000368926     0.000212966     0.000340708     0.000379609     0.000364285
        0.406437     0.000365008     0.000323009     0.000183345     0.000297279     0.000332206     0.000318774
         0.43239     0.000321177     0.000284469     0.000162918     0.000262352     0.000292652     0.000280831
        0.460001     0.000281875      0.00024961     0.000142655     0.000230055     0.000256771     0.000246393
        0.489375     0.000247014     0.000218721     0.000124931       0.0002016     0.000224998     0.000215904
        0.520624     0.000216384     0.000191625     0.000109594     0.000176657     0.000197131     0.000189163
        0.553869     0.000189231     0.000167564     9.57661e-05     0.000154465     0.000172377     0.000165409
        0.589237      0.00016536     0.000146432     8.37168e-05     0.000134991      0.00015064      0.00014455
        0.626864     0.000144331     0.000127811     7.30858e-05     0.000117834     0.000131486     0.000126169
        0.666893     0.000125849     0.000111441     6.37139e-05     0.000102739     0.000114646      0.00011001
        0.709478     0.000109636     9.70859e-05     5.55204e-05       8.951e-05     9.98792e-05     9.58396e-05
        0.754782     9.54168e-05     8.44951e-05     4.83219e-05     7.79029e-05     8.69264e-05     8.34106e-05
        0.802979     8.29648e-05     7.34679e-05     4.20173e-05     6.77375e-05     7.55822e-05     7.25252e-05
        0.854254     7.20732e-05     6.38238e-05     3.65034e-05     5.88462e-05     6.56602e-05     6.30049e-05
        0.908803     6.25574e-05     5.53965e-05     3.16856e-05     5.10781e-05     5.69917e-05     5.46861e-05
        0.966836     5.42535e-05     4.80428e-05      2.7481e-05     4.42988e-05     4.94266e-05     4.74269e-05
         1.02857     4.70116e-05     4.16304e-05     2.38139e-05     3.83864e-05     4.28291e-05     4.10967e-05
         1.09425     4.07043e-05     3.60448e-05     2.06196e-05     3.32364e-05     3.70831e-05     3.55829e-05
         1.16413     3.52157e-05     3.11848e-05     1.78401e-05     2.87554e-05     3.20832e-05     3.07852e-05
         1.23847     3.04453e-05     2.69604e-05      1.5424e-05     2.48605e-05     2.77372e-05      2.6615e-05
         1.31755      2.6301e-05     2.32905e-05     1.33249e-05     2.14767e-05     2.39617e-05     2.29921e-05
         1.40168      2.2705e-05     2.01061e-05     1.15035e-05     1.85405e-05     2.06856e-05     1.98485e-05
         1.49119     1.95874e-05     1.73453e-05     9.92425e-06     1.59949e-05     1.78453e-05     1.71232e-05
         1.58641     1.68862e-05     1.49533e-05      8.5559e-06     1.37893e-05     1.53844e-05     1.47618e-05
         1.68771     1.45484e-05     1.28831e-05     7.37157e-06     1.18803e-05     1.32545e-05     1.27182e-05
         1.79548      1.2526e-05     1.10922e-05     6.34701e-06     1.02289e-05      1.1412e-05     1.09502e-05
         1.91013     1.07781e-05     9.54439e-06     5.46151e-06     8.80166e-06     9.81967e-06     9.42221e-06
         2.03211     9.26844e-06     8.20753e-06     4.69664e-06     7.56887e-06     8.44427e-06     8.10247e-06
         2.16187     7.96573e-06     7.05393e-06      4.0366e-06     6.50511e-06     7.25742e-06     6.96365e-06
         2.29992      6.8421e-06     6.05893e-06     3.46729e-06     5.58752e-06     6.23369e-06     5.98138e-06
         2.44678     5.87377e-06     5.20142e-06     2.97661e-06     4.79676e-06     5.35151e-06     5.13486e-06
         2.60302     5.03975e-06     4.46289e-06     2.55402e-06     4.11569e-06     4.59165e-06     4.40577e-06
         2.76924     4.32191e-06      3.8272e-06     2.19028e-06     3.52948e-06     3.93764e-06     3.77822e-06
         2.94607     3.70437e-06     3.28034e-06     1.87734e-06     3.02517e-06       3.375e-06     3.23836e-06
          3.1342     3.17352e-06     2.81024e-06     1.60834e-06     2.59166e-06     2.89136e-06     2.77428e-06
         3.33433     2.71739e-06     2.40635e-06     1.37719e-06     2.21917e-06     2.47579e-06     2.37556e-06
         3.54725     2.32571e-06     2.05951e-06      1.1787e-06     1.89928e-06     2.11893e-06     2.03315e-06
         3.77376     1.98957e-06     1.76184e-06     1.00836e-06     1.62479e-06      1.8127e-06      1.7393e-06
         4.01474     1.70125e-06     1.50652e-06     8.62235e-07     1.38933e-06     1.54999e-06     1.48724e-06
         4.27111     1.45407e-06     1.28763e-06     7.36965e-07     1.18746e-06      1.3248e-06     1.27115e-06
         4.54384     1.24227e-06     1.10007e-06     6.29622e-07     1.01448e-06     1.13183e-06     1.08599e-06
         4.83399     1.06087e-06     9.39436e-07     5.37686e-07     8.66337e-07     9.66559e-07     9.27411e-07
         5.14267     9.05597e-07     8.01936e-07     4.58989e-07     7.39527e-07     8.25088e-07      7.9167e-07
         5.47106     7.72732e-07     6.84277e-07     3.91648e-07     6.31018e-07     7.04035e-07     6.75516e-07
         5.82042     6.59109e-07     5.83661e-07     3.34059e-07     5.38224e-07     6.00513e-07     5.76186e-07
         6.19209     5.61977e-07     4.97648e-07     2.84829e-07     4.58897e-07     5.12015e-07     4.91273e-07
         6.58749      4.7898e-07     4.24151e-07     2.42761e-07     3.91115e-07     4.36397e-07     4.18716e-07
         7.00814     4.08094e-07     3.61379e-07     2.06832e-07     3.33223e-07     3.71812e-07     3.56747e-07
         7.45565     3.47573e-07     3.07786e-07     1.76156e-07     2.83797e-07     3.16672e-07     3.03839e-07
         7.93174     2.95927e-07      2.6205e-07     1.49979e-07     2.41618e-07     2.69617e-07     2.58689e-07
         8.43823     2.51868e-07     2.23035e-07     1.27646e-07     2.05636e-07     2.29475e-07     2.20172e-07
         8.97706     2.14298e-07     1.89766e-07     1.08603e-07     1.74954e-07     1.95243e-07     1.87329e-07
          9.5503     1.82273e-07     1.61406e-07     9.23702e-08     1.48801e-07     1.66066e-07     1.59333e-07
         10.1601     1.54984e-07     1.37241e-07     7.85381e-08     1.26514e-07     1.41203e-07     1.35477e-07
         10.8089     1.31741e-07     1.16659e-07      6.6757e-08     1.07533e-07     1.20026e-07     1.15158e-07
         11.4991     1.11948e-07     9.91304e-08     5.67238e-08     9.13694e-08     1.01992e-07     9.78536e-08
         12.2334      9.5103e-08     8.42139e-08     4.81859e-08      7.7613e-08     8.66439e-08     8.31279e-08
         13.0146     8.07663e-08     7.15192e-08     4.09192e-08     6.59069e-08     7.35827e-08     7.05958e-08
         13.8457     6.85744e-08      6.0723e-08     3.47391e-08     5.59509e-08     6.24743e-08     5.99379e-08
         14.7298     5.82047e-08     5.15398e-08     2.94833e-08     4.74832e-08     5.30268e-08     5.08724e-08
         15.6704     4.93897e-08     4.37342e-08     2.50155e-08     4.02859e-08     4.49952e-08     4.31668e-08
          16.671     4.18985e-08     3.71006e-08     2.12187e-08     3.41694e-08     3.81701e-08     3.66183e-08
         17.7356     3.55343e-08     3.14649e-08     1.79931e-08     2.89733e-08     3.23716e-08     3.10549e-08
         18.8681     3.01291e-08     2.66785e-08     1.52538e-08     2.45604e-08      2.7447e-08       2.633e-08
         20.0729     2.55396e-08     2.26144e-08     1.29279e-08     2.08138e-08     2.32656e-08     2.23181e-08
         21.3547     2.16442e-08     1.91649e-08     1.09538e-08     1.76339e-08     1.97165e-08      1.8913e-08
         22.7183     1.83384e-08     1.62376e-08     9.27864e-09     1.49356e-08     1.67047e-08     1.60233e-08
          24.169     1.55337e-08      1.3754e-08     7.85742e-09     1.26465e-08     1.41494e-08     1.35717e-08
         25.7124     1.31549e-08     1.16475e-08     6.65215e-09     1.07052e-08     1.19822e-08     1.14924e-08
         27.3543     1.11379e-08     9.86155e-09     5.63028e-09     9.05942e-09     1.01446e-08      9.7295e-09
          29.101     9.42809e-09     8.34744e-09     4.76409e-09     7.66438e-09     8.58685e-09     8.23498e-09
         30.9593      7.9789e-09     7.06426e-09     4.03003e-09     6.48225e-09     7.26658e-09     6.96842e-09
         32.9362       6.751e-09     5.97693e-09     3.40812e-09     5.48081e-09     6.14797e-09     5.89522e-09
         35.0394     5.71096e-09     5.05601e-09     2.88143e-09     4.63267e-09     5.20044e-09     4.98628e-09
         37.2768     4.83007e-09     4.27598e-09     2.43541e-09     3.91454e-09     4.39797e-09     4.21643e-09
         39.6572     4.08423e-09     3.61559e-09     2.05785e-09     3.30666e-09     3.71854e-09     3.56468e-09
         42.1895     3.45287e-09     3.05654e-09      1.7383e-09     2.79223e-09     3.14339e-09     3.01298e-09
         44.8836     2.91855e-09     2.58341e-09      1.4679e-09     2.35703e-09     2.65668e-09     2.54609e-09
         47.7497     2.46641e-09     2.18307e-09     1.23918e-09      1.9889e-09     2.24484e-09     2.15105e-09
         50.7988     2.08391e-09     1.84442e-09     1.04575e-09     1.67763e-09     1.89643e-09      1.8169e-09
         54.0426      1.7604e-09     1.55799e-09     8.82204e-10     1.41448e-09     1.60177e-09      1.5343e-09
         57.4935     1.48685e-09     1.31578e-09     7.43964e-10     1.19208e-09     1.35262e-09     1.29536e-09
         61.1648     1.25557e-09     1.11102e-09     6.27145e-10     1.00419e-09     1.14199e-09     1.09337e-09
         65.0706     1.06007e-09     9.37932e-10     5.28448e-10     8.45473e-10     9.63953e-10     9.22652e-10
         69.2257     8.94857e-10     7.91663e-10     4.45089e-10     7.11463e-10     8.13506e-10       7.784e-10
         73.6462     7.55255e-10     6.68076e-10     3.74699e-10     5.98335e-10     6.86391e-10     6.56534e-10
         78.3489      6.3732e-10     5.63675e-10     3.15283e-10     5.02873e-10     5.79015e-10     5.53605e-10
         83.3519     5.37712e-10     4.75499e-10     2.65142e-10     4.22344e-10     4.88334e-10     4.66687e-10
         88.6745      4.5359e-10     4.01037e-10     2.22841e-10     3.54437e-10     4.11762e-10     3.93304e-10
         94.3369     3.82564e-10     3.38171e-10     1.87165e-10     2.97196e-10     3.47118e-10     3.31364e-10
         100.361     3.22606e-10     2.85103e-10     1.57089e-10     2.48965e-10     2.92556e-10     2.79091e-10
         106.769     2.71998e-10     2.40315e-10     1.31741e-10     2.08343e-10      2.4651e-10     2.34989e-10
         113.587     2.29294e-10     2.02524e-10     1.10388e-10     1.74151e-10     2.07662e-10      1.9779e-10
         120.841     1.93259e-10     1.70638e-10      9.2405e-11     1.45381e-10     1.74888e-10     1.66416e-10
         128.557     1.62862e-10     1.43746e-10      7.7271e-11     1.21194e-10     1.47251e-10     1.39967e-10
         136.766     1.37221e-10     1.21062e-10     6.45378e-11     1.00866e-10     1.23943e-10      1.1767e-10
         145.499     1.15597e-10     1.01935e-10     5.38316e-11     8.37992e-11     1.04294e-10     9.88811e-11
          154.79     9.73633e-11     8.58104e-11      4.4835e-11     6.94808e-11     8.77321e-11     8.30523e-11
         164.675      8.1994e-11     7.22199e-11     3.72812e-11     5.74817e-11     7.37774e-11      6.9722e-11
          175.19     6.90365e-11     6.07658e-11     3.09424e-11      4.7434e-11     6.20184e-11     5.84975e-11
         186.377     5.81175e-11     5.11143e-11     2.56285e-11      3.9033e-11     5.21153e-11     4.90498e-11
         198.278     4.89154e-11     4.29838e-11     2.11779e-11      3.2018e-11     4.37749e-11     4.11008e-11
          210.94     4.11636e-11     3.61368e-11     1.74551e-11     2.61711e-11     3.67543e-11     3.44161e-11
         224.409     3.46334e-11     3.03706e-11     1.43447e-11     2.13063e-11     3.08449e-11     2.87958e-11
         238.739      2.9133e-11     2.55158e-11     1.17498e-11     1.72678e-11     2.58724e-11     2.40729e-11
         253.984     2.45016e-11       2.143e-11     9.58913e-12     1.39245e-11     2.16903e-11     2.01067e-11
         270.202     2.06021e-11     1.79916e-11     7.79341e-12      1.1165e-11     1.81737e-11     1.67774e-11
         287.457     1.73193e-11     1.50989e-11     6.30457e-12     8.89546e-12     1.52178e-11     1.39849e-11
         305.812     1.45563e-11      1.2666e-11     5.07355e-12      7.0368e-12     1.27343e-11     1.16441e-11
          325.34     1.22312e-11     1.06202e-11     4.05898e-12     5.52211e-12     1.06486e-11     9.68356e-12
         346.115      1.0275e-11     8.90079e-12       3.226e-12       4.295e-12     8.89791e-12     8.04326e-12
         368.217     8.62935e-12     7.45594e-12     2.54505e-12     3.30741e-12      7.4291e-12     6.67214e-12
         391.729     7.24539e-12     6.24236e-12     1.99132e-12     2.51897e-12     6.19774e-12     5.52747e-12
         416.744     6.08166e-12     5.22336e-12     1.54373e-12     1.89522e-12     5.16606e-12     4.57304e-12
         443.355     5.10338e-12     4.36826e-12     1.18448e-12     1.40705e-12     4.30237e-12      3.7785e-12
         471.666     4.28115e-12     3.65097e-12     8.98502e-13     1.02967e-12     3.57989e-12      3.1181e-12
         501.785     3.59038e-12     3.04966e-12     6.73028e-13     7.42029e-13     2.97623e-12     2.57021e-12
         533.827     3.01007e-12     2.54582e-12     4.97198e-13     5.26276e-13     2.47229e-12      2.1165e-12
         567.915     2.52274e-12     2.12399e-12     3.61816e-13     3.67341e-13     2.05207e-12     1.74158e-12
