#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.136029E-04   0.246660E+06   0.246660E+06   0.328878E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.532381E+00
   0.137396E-04   0.246660E+06   0.246660E+06   0.328878E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.537732E+00
   0.138777E-04   0.246660E+06   0.246660E+06   0.328878E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.543136E+00
   0.140172E-04   0.246660E+06   0.246660E+06   0.328878E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.548595E+00
   0.141581E-04   0.246660E+06   0.246660E+06   0.328878E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.554108E+00
   0.143004E-04   0.246660E+06   0.246660E+06   0.328878E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.559677E+00
   0.144441E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.565302E+00
   0.145892E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.570983E+00
   0.147359E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.576722E+00
   0.148840E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.582518E+00
   0.150336E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.588372E+00
