# Thu Apr  6 19:45:19 2023
#
# Cooling Map File
#
# Loop values:
# hden -5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -20.4555  -23.3622  -21.4108  -21.7038  -23.2280  -23.5152  -25.9342  -26.8248  -26.7783
3.100  -20.5173  -23.4317  -21.4431  -21.7363  -23.1229  -23.4101  -25.7750  -26.8252  -26.7777
3.200  -20.5804  -23.5022  -21.4711  -21.7645  -23.0171  -23.3045  -25.6861  -26.8421  -26.7935
3.300  -20.6445  -23.5742  -21.4951  -21.7886  -22.9128  -23.2001  -25.6504  -26.8769  -26.8272
3.400  -20.7097  -23.6468  -21.5171  -21.8107  -22.8128  -23.1001  -25.6566  -26.9290  -26.8784
3.500  -20.7758  -23.7206  -21.5399  -21.8336  -22.7210  -23.0083  -25.6964  -26.9976  -26.9462
3.600  -20.8429  -23.7954  -21.5658  -21.8595  -22.6428  -22.9300  -25.7637  -27.0819  -27.0296
3.700  -20.9351  -23.8683  -21.6044  -21.8940  -22.5925  -22.8753  -25.8534  -27.1777  -27.1258
3.800  -20.9981  -23.9458  -21.6391  -21.9296  -22.5558  -22.8388  -25.9612  -27.2279  -27.1939
3.900  -21.0635  -24.0243  -21.6803  -21.9715  -22.5387  -22.8220  -26.0836  -26.9851  -27.0264
4.000  -21.1309  -24.1039  -21.7284  -22.0202  -22.5336  -22.8174  -26.2179  -26.4795  -26.5719
4.100  -21.2001  -24.1848  -21.7842  -22.0764  -22.5326  -22.8167  -26.3626  -25.9966  -26.1023
4.200  -21.2710  -24.2659  -21.8483  -22.1410  -22.5334  -22.8180  -26.5170  -25.5765  -25.6865
4.300  -21.3439  -24.3467  -21.9203  -22.2134  -22.5424  -22.8273  -26.6802  -25.1955  -25.3071
4.400  -21.4205  -24.4250  -21.9980  -22.2915  -22.5661  -22.8515  -26.8500  -24.8724  -24.9844
4.500  -21.5063  -24.4984  -22.0783  -22.3720  -22.5996  -22.8857  -27.0236  -24.6296  -24.7418
